//0																					
//Oxygen, 0.96
//Nitrate, 1, 1, -2.5, 1.9
//Nitrate, 51, 1, 0, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth [m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		  1099.05	0	  5.8145	0	35.0854	0	27.606	0	225.50	0	72.82	0	27.40	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   997.43	0	  6.4354	0	35.0867	0	27.527	0	202.46	0	66.34	0	29.08	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   951.29	0	  6.8443	0	35.0918	0	27.476	0	190.08	0	62.88	0	30.32	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   901.46	0	  7.4943	0	35.1226	0	27.411	0	181.82	0	61.06	0	28.55	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   851.31	0	  8.2101	0	35.1541	0	27.332	0	170.88	0	58.34	0	28.73	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   801.54	0	  9.4150	0	35.2373	0	27.214	0	154.94	0	54.37	0	27.80	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   750.87	0	 11.3260	0	35.4584	0	27.074	0	153.50	0	56.22	0	23.75	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   701.56	0	 11.8742	0	35.5308	0	27.036	0	157.06	0	58.22	0	21.92	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   651.46	0	 13.0713	0	35.7147	0	26.963	0	163.78	0	62.31	0	19.30	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   600.62	0	 14.5074	0	35.9200	0	26.846	0	171.07	0	67.11	0	15.37	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   550.95	0	 15.4255	0	36.0810	0	26.787	0	177.70	0	71.07	0	12.64	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   500.83	0	 16.3715	0	36.2531	0	26.722	0	185.76	0	75.76	0	9.89	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   451.44	0	 17.0289	0	36.3678	0	26.669	0	189.89	0	78.49	0	8.65	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   400.46	0	 17.5312	0	36.4684	0	26.637	0	195.94	0	81.83	0	6.68	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   381.28	0	 17.6871	0	36.4985	0	26.625	0	197.86	0	82.89	0	6.20	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   360.33	0	 17.8638	0	36.5296	0	26.609	0	199.87	0	84.03	0	5.97	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   351.05	0	 17.8957	0	36.5286	0	26.601	0	199.49	0	83.92	0	5.76	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   340.71	0	 17.9900	0	36.5439	0	26.591	0	199.39	0	84.04	0	5.71	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   330.36	0	 18.0157	0	36.5455	0	26.586	0	200.35	0	84.48	0	5.03	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   321.51	0	 18.0540	0	36.5454	0	26.577	0	201.02	0	84.83	0	5.01	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   310.46	0	 18.0960	0	36.5440	0	26.565	0	200.64	0	84.73	0	4.85	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   300.92	0	 18.1487	0	36.5467	0	26.555	0	200.93	0	84.94	0	4.68	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   291.63	0	 18.1948	0	36.5469	0	26.544	0	200.83	0	84.97	0	4.88	0
0069Bermuda	 1	C	11/30/2012	16:16	295.905	 31.681		   281.50	0	 18.2637	0	36.5431	0	26.524	0	201.70	0	85.45	0	4.32	0
