//0																															
//Oxygen, 1.02
//Nitrate, 1,1,-0.25,0
//pH, 1, -0.15, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0511SoOcn	1	C	12/18/2014	16:32				1999	0	0.0447	0	34.659	0	27.829	0	233.07	0	65.01	0	32.15	8	0.02	0	0.000093	0	2.36	0	7.9007	0	7.6322	0
0511SoOcn	1	C	12/18/2014	16:32				1949.7	0	0.0573	0	34.66	0	27.829	0	231.74	0	64.66	0	32.15	8	0.02	0	0.000094	0	2.41	0	7.8991	0	7.6292	0
0511SoOcn	1	C	12/18/2014	16:32				1899.7	0	0.0726	0	34.66	0	27.828	0	230.93	0	64.46	0	32.05	8	0.02	0	0.000093	0	2.36	0	7.8983	0	7.6271	0
0511SoOcn	1	C	12/18/2014	16:32				1849.7	0	0.0921	0	34.661	0	27.828	0	230.11	0	64.26	0	32.15	8	0.02	0	0.000093	0	2.39	0	7.9006	0	7.6277	0
0511SoOcn	1	C	12/18/2014	16:32				1799.9	0	0.1085	0	34.662	0	27.828	0	229.30	0	64.06	0	32.15	8	0.02	0	0.000094	0	2.39	0	7.9016	0	7.6272	0
0511SoOcn	1	C	12/18/2014	16:32				1749.7	0	0.126	0	34.663	0	27.827	0	228.38	0	63.84	0	32.25	8	0.02	0	0.000094	0	2.37	0	7.9033	0	7.6274	0
0511SoOcn	1	C	12/18/2014	16:32				1699	0	0.1453	0	34.664	0	27.827	0	227.36	0	63.58	0	32.25	8	0.02	0	0.000094	0	2.36	0	7.9031	0	7.6258	0
0511SoOcn	1	C	12/18/2014	16:32				1650	0	0.1667	0	34.665	0	27.827	0	226.13	0	63.28	0	32.25	8	0.02	0	0.000094	0	2.37	0	7.9042	0	7.6255	0
0511SoOcn	1	C	12/18/2014	16:32				1600.1	0	0.1946	0	34.665	0	27.825	0	225.01	0	63.01	0	32.35	8	0.03	0	0.000095	0	2.36	0	7.9055	0	7.6255	0
0511SoOcn	1	C	12/18/2014	16:32				1549	0	0.2185	0	34.667	0	27.826	0	223.79	0	62.71	0	32.25	8	0.02	0	0.000095	0	2.41	0	7.9065	0	7.6250	0
0511SoOcn	1	C	12/18/2014	16:32				1498.8	0	0.2399	0	34.668	0	27.825	0	222.36	0	62.34	0	32.35	8	0.02	0	0.000095	0	2.39	0	7.9055	0	7.6227	0
0511SoOcn	1	C	12/18/2014	16:32				1449.4	0	0.2625	0	34.668	0	27.824	0	221.65	0	62.18	0	32.25	8	0.02	0	0.000095	0	2.42	0	7.9092	0	7.6248	0
0511SoOcn	1	C	12/18/2014	16:32				1399.7	0	0.2888	0	34.67	0	27.824	0	220.63	0	61.94	0	32.35	8	0.02	0	0.000095	0	2.39	0	7.9092	0	7.6235	0
0511SoOcn	1	C	12/18/2014	16:32				1350	0	0.3148	0	34.671	0	27.823	0	219.50	0	61.66	0	32.25	8	0.02	0	0.000095	0	2.4	0	7.9122	0	7.6250	0
0511SoOcn	1	C	12/18/2014	16:32				1298.8	0	0.3344	0	34.672	0	27.823	0	218.99	0	61.55	0	32.35	8	0.02	0	0.000095	0	2.39	0	7.9120	0	7.6234	0
0511SoOcn	1	C	12/18/2014	16:32				1248.7	0	0.3553	0	34.673	0	27.823	0	217.87	0	61.27	0	32.55	8	0.02	0	0.000096	0	2.43	0	7.9141	0	7.6240	0
0511SoOcn	1	C	12/18/2014	16:32				1199.3	0	0.3729	0	34.674	0	27.822	0	216.95	0	61.04	0	32.35	8	0.02	0	0.000095	0	2.41	0	7.9148	0	7.6232	0
0511SoOcn	1	C	12/18/2014	16:32				1149.6	0	0.3948	0	34.675	0	27.822	0	216.44	0	60.93	0	32.45	8	0.02	0	0.000095	0	2.44	0	7.9171	0	7.6240	0
0511SoOcn	1	C	12/18/2014	16:32				1098.5	0	0.4159	0	34.675	0	27.821	0	215.83	0	60.79	0	32.35	8	0.02	0	0.000096	0	2.44	0	7.9192	0	7.6245	0
0511SoOcn	1	C	12/18/2014	16:32				1048.9	0	0.4371	0	34.677	0	27.821	0	215.02	0	60.60	0	32.35	8	0.02	0	0.000097	0	2.42	0	7.9194	0	7.6234	0
0511SoOcn	1	C	12/18/2014	16:32				999.2	0	0.4587	0	34.677	0	27.82	0	214.51	0	60.49	0	32.25	8	0.03	0	0.000099	0	2.42	0	7.9221	0	7.6245	0
0511SoOcn	1	C	12/18/2014	16:32				977.9	0	0.466	0	34.678	0	27.82	0	214.10	0	60.39	0		8		0		0		0	7.9160	0	7.6184	0
0511SoOcn	1	C	12/18/2014	16:32				976	0	0.467	0	34.678	0	27.82	0	214.10	0	60.39	0		8	0.02	0	0.000097	0	2.42	0	7.9163	0	7.6185	0
0511SoOcn	1	C	12/18/2014	16:32				974	0	0.468	0	34.678	0	27.82	0	214.00	0	60.36	0		8	0.02	0	0.000096	0	2.42	0	7.9150	0	7.6173	0
0511SoOcn	1	C	12/18/2014	16:32				972	0	0.468	0	34.678	0	27.82	0	214.10	0	60.39	0		8	0.02	0	0.000095	0	2.42	0	7.9147	0	7.6169	0
0511SoOcn	1	C	12/18/2014	16:32				970	0	0.469	0	34.678	0	27.82	0	214.00	0	60.36	0		8	0.02	0	0.000095	0	2.42	0	7.9135	0	7.6158	0
0511SoOcn	1	C	12/18/2014	16:32				968	0	0.47	0	34.678	0	27.82	0	214.00	0	60.36	0		8	0.02	0	0.000096	0	2.42	0	7.9128	0	7.6151	0
0511SoOcn	1	C	12/18/2014	16:32				966	0	0.47	0	34.678	0	27.82	0	213.89	0	60.33	0		8	0.02	0	0.000095	0	2.4	0	7.9123	0	7.6146	0
0511SoOcn	1	C	12/18/2014	16:32				964	0	0.472	0	34.678	0	27.82	0	213.89	0	60.34	0		8	0.02	0	0.000095	0	2.4	0	7.9122	0	7.6144	0
