//0																					
//Oxygen, 1.07
//Nitrate, 1, 0.97, -1, 0.7
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		1199.14	0	3.4963	0	34.5216	0	27.412	0	54.68	0	16.63	0	43.96	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		1098.94	0	3.6775	0	34.5041	0	27.379	0	51.04	0	15.60	0	43.98	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		996.76	0	3.966	0	34.4746	0	27.323	0	46.12	0	14.19	0	43.97	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		951.1	0	4.0995	0	34.4534	0	27.291	0	42.80	0	13.21	0	44.07	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		901.09	0	4.2977	0	34.4222	0	27.243	0	38.41	0	11.91	0	44.02	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		851.24	0	4.4189	0	34.3786	0	27.193	0	33.17	0	10.31	0	44.06	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		801.39	0	4.5739	0	34.3345	0	27.139	0	29.96	0	9.35	0	43.94	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		750.85	0	4.7469	0	34.2656	0	27.062	0	28.57	0	8.95	0	43.55	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		701.55	0	4.968	0	34.1921	0	26.975	0	29.96	0	9.43	0	42.72	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		651.64	0	5.2744	0	34.1506	0	26.904	0	40.23	0	12.75	0	41.05	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		601.29	0	6.2281	0	34.1295	0	26.764	0	57.35	0	18.58	0	37.62	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		551.73	0	6.9907	0	34.1114	0	26.645	0	77.68	0	25.62	0	33.97	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		501.2	0	7.5826	0	34.0854	0	26.538	0	99.30	0	33.19	0	30.21	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		450.98	0	8.6299	0	34.0702	0	26.368	0	150.66	0	51.56	0	23.36	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		401.08	0	9.6437	0	34.1045	0	26.233	0	186.18	0	65.18	0	18.49	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		379.04	0	10.2809	0	34.1425	0	26.157	0	193.88	0	68.85	0	16.38	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		360.78	0	10.8699	0	34.1853	0	26.09	0	199.98	0	71.95	0	14.71	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		351.61	0	11.2671	0	34.2138	0	26.043	0	200.95	0	72.92	0	13.72	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		341.37	0	11.6967	0	34.2525	0	25.997	0	203.30	0	74.47	0	12.75	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		330.87	0	12.0879	0	34.2719	0	25.94	0	204.58	0	75.58	0	12.00	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		321.73	0	12.259	0	34.2769	0	25.912	0	204.37	0	75.77	0	11.56	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		311.38	0	12.6855	0	34.2925	0	25.843	0	204.16	0	76.38	0	10.57	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		301.09	0	13.0301	0	34.3088	0	25.789	0	204.69	0	77.14	0	9.96	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		291.23	0	13.636	0	34.3443	0	25.697	0	204.69	0	78.12	0	7.89	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		281.25	0	13.8325	0	34.3571	0	25.668	0	209.93	0	80.45	0	7.15	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		271.37	0	14.1598	0	34.3761	0	25.616	0	214.32	0	82.69	0	6.04	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		261.13	0	14.6207	0	34.4159	0	25.553	0	215.18	0	83.82	0	5.22	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		251.34	0	14.9318	0	34.4555	0	25.519	0	215.07	0	84.33	0	4.90	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		240.73	0	15.1563	0	34.4837	0	25.495	0	214.11	0	84.34	0	4.78	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		231.3	0	15.8452	0	34.5766	0	25.421	0	210.36	0	84.05	0	4.67	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		220.97	0	16.4478	0	34.6693	0	25.363	0	205.76	0	83.24	0	4.24	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		211.69	0	17.0733	0	34.7577	0	25.292	0	203.19	0	83.25	0	3.49	0
6403Hawaii	1	C	1/10/2011	18:38	201.879	22.705		200.94	0	17.8534	0	34.887	0	25.215	0	201.05	0	83.68	0	2.91	0
