//0																					
//Oxygen, 1.03
//Nitrate, 1, 0.96, 1, -2
//Nitrate, 40, 0.96, 0, -2
//Nitrate, 130, 0.96, 0, -25
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		951.59	0	4.2938	0	34.4524	0	27.268	0	37.18	0	11.53	0	44.26	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		901.37	0	4.3821	0	34.4081	0	27.222	0	35.43	0	11.01	0	43.56	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		851.51	0	4.6061	0	34.3922	0	27.183	0	32.75	0	10.23	0	43.68	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		801.15	0	4.8685	0	34.337	0	27.106	0	31.31	0	9.84	0	43.04	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		751.02	0	4.9992	0	34.3035	0	27.063	0	31.62	0	9.96	0	43.01	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		701.33	0	5.1621	0	34.2806	0	27.025	0	31.42	0	9.94	0	41.66	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		651.53	0	5.3567	0	34.2278	0	26.957	0	32.75	0	10.40	0	41.54	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		600.65	0	5.7227	0	34.1527	0	26.849	0	44.50	0	14.25	0	39.83	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		551.28	0	6.3581	0	34.0781	0	26.704	0	61.08	0	19.85	0	36.22	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		501.46	0	7.4309	0	34.0664	0	26.545	0	93.94	0	31.29	0	31.32	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		450.52	0	8.6505	0	34.073	0	26.367	0	126.07	0	43.17	0	24.83	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		401.5	0	9.9522	0	34.0981	0	26.176	0	153.88	0	54.24	0	19.60	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		381.39	0	10.8149	0	34.1194	0	26.045	0	169.44	0	60.86	0	16.29	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		360.9	0	12.174	0	34.2271	0	25.886	0	174.89	0	64.71	0	12.15	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		351.08	0	12.5211	0	34.2839	0	25.867	0	183.65	0	68.47	0	11.30	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		341.22	0	12.7027	0	34.2989	0	25.845	0	191.17	0	71.55	0	11.25	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		331.15	0	12.7863	0	34.3041	0	25.833	0	192.10	0	72.02	0	11.48	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		321.77	0	13.483	0	34.3258	0	25.713	0	189.93	0	72.25	0	9.47	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		311.34	0	14.2416	0	34.3865	0	25.608	0	187.46	0	72.45	0	8.48	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		301.35	0	14.9311	0	34.4602	0	25.524	0	185.50	0	72.73	0	7.80	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		291.1	0	15.9706	0	34.6077	0	25.419	0	185.61	0	74.36	0	5.54	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		280.75	0	16.2879	0	34.6565	0	25.389	0	189.42	0	76.38	0	5.26	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		270.9	0	16.4766	0	34.6821	0	25.367	0	192.71	0	78.01	0	5.00	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		261.68	0	16.9951	0	34.7485	0	25.303	0	192.10	0	78.58	0	4.66	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		251.14	0	17.6494	0	34.8453	0	25.229	0	190.65	0	79.02	0	4.24	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		241.41	0	18.309	0	34.9465	0	25.154	0	189.11	0	79.42	0	3.74	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		231.29	0	18.7114	0	35.014	0	25.112	0	189.52	0	80.23	0	3.33	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		221.29	0	19.266	0	35.13	0	25.07	0	193.54	0	82.84	0	2.49	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		211.62	0	19.6324	0	35.2043	0	25.039	0	199.10	0	85.84	0	1.79	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		201.21	0	19.8769	0	35.2618	0	25.024	0	202.40	0	87.69	0	1.89	0
6891Hawaii	1	C	5/21/2010	11:30	202.008	22.676		191.47	0	20.0933	0	35.3131	0	25.011	0	205.90	0	89.59	0	0.94	0
