//0																						
//Oxygen, 1.11
//Nitrate, 1, 1, 0.8, -.5
//Nitrate, 182, 1, -2, 1
//Nitrate, 263, 1, -1, 1
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		800.98	0	10.542	0	35.3621	0	27.131	0	142.19	0	51.18	0	23.62	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		751.48	0	11.6016	0	35.4931	0	27.054	0	143.08	0	52.72	0	22.17	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		701.64	0	12.8268	0	35.6618	0	26.966	0	148.96	0	56.37	0	19.06	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		650.07	0	13.9436	0	35.827	0	26.884	0	157.73	0	61.14	0	16.23	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		601.03	0	14.9087	0	35.981	0	26.813	0	163.95	0	64.86	0	13.73	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		550.84	0	15.7982	0	36.1323	0	26.748	0	171.05	0	68.93	0	12.21	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		501.74	0	16.5019	0	36.2655	0	26.703	0	177.49	0	72.58	0	10.40	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		451.09	0	17.2326	0	36.4101	0	26.657	0	194.25	0	80.63	0	7.56	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		401.3	0	17.672	0	36.4919	0	26.623	0	199.47	0	83.54	0	6.67	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		380.98	0	17.7738	0	36.5072	0	26.612	0	199.47	0	83.71	0	6.58	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		361.37	0	17.8755	0	36.5248	0	26.602	0	199.80	0	84.02	0	5.98	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		351.62	0	17.9268	0	36.5308	0	26.595	0	200.02	0	84.19	0	6.14	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		340.88	0	17.9549	0	36.5333	0	26.59	0	200.36	0	84.38	0	5.48	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		331.34	0	17.9734	0	36.5369	0	26.589	0	200.80	0	84.60	0	5.59	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		321.14	0	18.0284	0	36.5478	0	26.585	0	201.47	0	84.97	0	5.50	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		311.19	0	18.064	0	36.5534	0	26.581	0	202.35	0	85.41	0	5.36	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		301.29	0	18.0845	0	36.5532	0	26.576	0	202.80	0	85.63	0	5.02	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		290.99	0	18.1222	0	36.5585	0	26.571	0	202.91	0	85.74	0	5.26	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		281.74	0	18.1598	0	36.5644	0	26.567	0	203.24	0	85.95	0	5.11	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		271.71	0	18.2077	0	36.5697	0	26.56	0	203.46	0	86.12	0	4.48	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		261.44	0	18.2367	0	36.5718	0	26.555	0	202.69	0	85.84	0	5.08	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		251.48	0	18.2822	0	36.5732	0	26.545	0	201.80	0	85.54	0	4.73	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		241.24	0	18.3481	0	36.5785	0	26.533	0	201.24	0	85.41	0	4.48	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		231.29	0	18.4321	0	36.5832	0	26.517	0	200.58	0	85.26	0	4.67	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		221	0	18.482	0	36.5857	0	26.507	0	199.25	0	84.78	0	4.46	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		211.19	0	18.5826	0	36.5973	0	26.492	0	198.36	0	84.57	0	4.17	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		201.69	0	18.6573	0	36.599	0	26.475	0	197.91	0	84.50	0	4.28	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		191.38	0	18.783	0	36.6146	0	26.457	0	197.36	0	84.47	0	3.95	0	
6976BERMUDA	1	C	11/12/2010	16:10	295.831	31.759		181.48	0	18.8742	0	36.6204	0	26.439	0	197.03	0	84.47	0	3.65	0	
