//0																									
//Oxygen, 1.09
//Nitrate, 1,1,0,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		999.3	0	4.4423	0	34.5414	0	27.324	0	19.08	0	5.94	0	47.03	0	0.08	0	0.000099	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		951.61	0	4.5977	0	34.5359	0	27.302	0	15.91	0	4.97	0	47.13	0	0.09	0	0.000103	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		900.61	0	4.7828	0	34.527	0	27.273	0	13.95	0	4.38	0	46.92	0	0.09	0	0.000101	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		851.59	0	5.0471	0	34.5205	0	27.236	0	10.03	0	3.17	0	47.01	0	0.09	0	0.000099	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		801.19	0	5.339	0	34.512	0	27.193	0	8.72	0	2.77	0	45.73	0	0.11	0	0.000107	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		751.34	0	5.647	0	34.5049	0	27.149	0	7.30	0	2.34	0	44.97	0	0.09	0	0.000103	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		701.09	0	6.0235	0	34.5021	0	27.098	0	5.12	0	1.66	0	43.71	0	0.09	0	0.000107	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		651.14	0	6.4883	0	34.4969	0	27.032	0	5.89	0	1.92	0	42.45	0	0.09	0	0.000109	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		601.17	0	7.062	0	34.5177	0	26.971	0	3.60	0	1.19	0	40.48	0	0.09	0	0.000105	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		550.66	0	7.4916	0	34.5257	0	26.916	0	2.40	0	0.80	0	39.61	0	0.11	0	0.000107	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		500.79	0	7.9413	0	34.5305	0	26.855	0	2.62	0	0.88	0	38.00	0	0.09	0	0.000107	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		451.02	0	8.7177	0	34.5691	0	26.769	0	2.07	0	0.71	0	37.07	0	0.1	0	0.000105	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		401.09	0	9.3079	0	34.5998	0	26.701	0	0.98	0	0.34	0	34.84	0	0.1	0	0.000109	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		381.58	0	9.5699	0	34.6181	0	26.673	0	0.87	0	0.31	0	32.70	0	0.09	0	0.000125	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		360.9	0	9.8529	0	34.6364	0	26.642	0	0.87	0	0.31	0	31.33	0	0.09	0	0.000123	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		351.54	0	9.9631	0	34.6387	0	26.625	0	0.87	0	0.31	0	29.82	0	0.09	0	0.000132	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		341.16	0	10.1134	0	34.6463	0	26.606	0	0.87	0	0.31	0	29.61	0	0.09	0	0.000136	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		330.91	0	10.2012	0	34.6531	0	26.597	0	0.87	0	0.31	0	29.56	0	0.09	0	0.000145	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		321.02	0	10.3386	0	34.6657	0	26.584	0	0.87	0	0.31	0	28.55	0	0.09	0	0.000136	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		311.63	0	10.4098	0	34.6702	0	26.576	0	0.87	0	0.31	0	28.53	0	0.09	0	0.000138	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		301.07	0	10.4732	0	34.6745	0	26.568	0	0.87	0	0.31	0	29.49	0	0.09	0	0.000136	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		291.38	0	10.5485	0	34.6809	0	26.561	0	0.87	0	0.31	0	30.15	0	0.08	0	0.000136	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		281.3	0	10.6151	0	34.6827	0	26.551	0	0.76	0	0.27	0	29.82	0	0.09	0	0.000129	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		270.94	0	10.6743	0	34.6796	0	26.538	0	0.87	0	0.31	0	30.29	0	0.08	0	0.000132	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		261.38	0	10.8235	0	34.6934	0	26.523	0	0.87	0	0.31	0	29.31	0	0.08	0	0.000134	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		251.51	0	11.0398	0	34.7039	0	26.494	0	0.76	0	0.28	0	30.30	0	0.07	0	0.000132	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		241.15	0	11.126	0	34.7149	0	26.488	0	0.87	0	0.32	0	29.09	0	0.09	0	0.000134	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		231.06	0	11.2334	0	34.722	0	26.474	0	0.76	0	0.28	0	29.23	0	0.07	0	0.000127	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		221.06	0	11.3002	0	34.7231	0	26.463	0	0.87	0	0.32	0	27.33	0	0.07	0	0.000136	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		211.39	0	11.4246	0	34.7287	0	26.446	0	0.87	0	0.32	0	27.14	0	0.09	0	0.000145	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		201.22	0	11.5593	0	34.7337	0	26.425	0	0.87	0	0.32	0	25.78	0	0.08	0	0.000142	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		191.42	0	11.7017	0	34.7382	0	26.403	0	0.76	0	0.28	0	25.22	0	0.09	0	0.000153	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		180.35	0	11.8826	0	34.7364	0	26.368	0	0.76	0	0.28	0	25.23	0	0.09	0	0.000151	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		170.56	0	12.0056	0	34.7276	0	26.338	0	0.76	0	0.28	0	24.50	0	0.16	0	0.00016	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		161.51	0	12.2427	0	34.729	0	26.294	0	0.76	0	0.28	0	21.22	0	0.19	0	0.000156	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		151.3	0	12.4687	0	34.7216	0	26.245	0	0.76	0	0.28	0	21.76	0	0.32	0	0.00018	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		140.83	0	12.8571	0	34.7373	0	26.183	0	0.76	0	0.29	0	21.47	0	0.41	0	0.00018	0
7558ETNP	1	C	3/27/2012	0:41	236.659	13.992		131.1	0	13.4559	0	34.6799	0	26.016	0	0.76	0	0.29	0	23.23	0	1.46	0	0.000237	0
