//0																									
//Oxygen, 1.084
//Nitrate, 1,1,0,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1799.37	0	  0.6055	0	34.7023	0	27.824	0	198.91	0	56.32	0		8	0.00	0	0.000079	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1697.39	0	  0.6425	0	34.7034	0	27.822	0	197.94	0	56.10	0		8	0.00	0	0.000081	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1597.30	0	  0.6849	0	34.7043	0	27.82	0	196.96	0	55.88	0		8	-0.01	0	0.000078	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1497.04	0	  0.7231	0	34.7061	0	27.818	0	196.10	0	55.69	0		8	0.00	0	0.000079	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1396.85	0	  0.7657	0	34.7073	0	27.816	0	195.01	0	55.44	0		8	-0.01	0	0.000082	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1295.03	0	  0.8073	0	34.7091	0	27.814	0	193.93	0	55.20	0		8	-0.01	0	0.000079	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1195.82	0	  0.8578	0	34.7115	0	27.812	0	192.74	0	54.93	0		8	0.00	0	0.000090	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		  1094.21	0	  0.9083	0	34.7127	0	27.809	0	191.43	0	54.63	0		8	0.00	0	0.000085	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   995.13	0	  0.9680	0	34.7156	0	27.806	0	189.59	0	54.19	0		8	-0.01	0	0.000087	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   943.50	0	  0.9969	0	34.7168	0	27.805	0	188.62	0	53.95	0		8	0.00	0	0.000082	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   899.14	0	  1.0268	0	34.7180	0	27.804	0	187.75	0	53.74	0		8	-0.01	0	0.000085	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   850.67	0	  1.0617	0	34.7188	0	27.801	0	186.77	0	53.51	0		8	0.00	0	0.000087	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   800.32	0	  1.0939	0	34.7201	0	27.8	0	185.58	0	53.22	0		8	-0.01	0	0.000085	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   750.08	0	  1.1217	0	34.7215	0	27.799	0	184.50	0	52.94	0		8	-0.01	0	0.000095	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   699.61	0	  1.1458	0	34.7222	0	27.797	0	183.74	0	52.76	0		8	0.00	0	0.000100	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   641.12	0	  1.1887	0	34.7234	0	27.795	0	182.11	0	52.35	0		8	0.00	0	0.000092	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   601.16	0	  1.2201	0	34.7240	0	27.792	0	181.14	0	52.11	0		8	0.00	0	0.000125	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   551.07	0	  1.2577	0	34.7251	0	27.79	0	179.73	0	51.76	0		8	0.00	0	0.000092	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   500.19	0	  1.2971	0	34.7255	0	27.787	0	178.43	0	51.44	0		8	0.01	0	0.000092	0
7567SoOcn	 2	C	04/10/2014	06:06	198.486	-65.687		   450.30	0	  1.3374	0	34.7257	0	27.784	0	177.78	0	51.30	0		8	0.00	0	0.000090	0
