//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   901.33	0	  4.3703	0	34.4284	0	27.24	0	38.4	0	11.9	0	42.69	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   851.45	0	  4.6292	0	34.4262	0	27.208	0	37.9	0	11.8	0	42.48	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   801.60	0	  4.6672	0	34.3755	0	27.162	0	32.3	0	10.1	0	42.95	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   751.61	0	  5.0995	0	34.3130	0	27.059	0	33.7	0	10.6	0	41.92	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   701.50	0	  5.1317	0	34.2259	0	26.983	0	31.0	0	9.8	0	41.76	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   651.43	0	  5.4034	0	34.1529	0	26.89	0	40.2	0	12.8	0	39.86	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   599.96	0	  5.8294	0	34.0875	0	26.782	0	55.5	0	17.8	0	37.42	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   550.41	0	  6.6927	0	34.1011	0	26.678	0	71.4	0	23.4	0	34.18	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   501.42	0	  7.4745	0	34.0903	0	26.558	0	88.5	0	29.5	0	30.52	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   450.94	0	  8.5573	0	34.1165	0	26.417	0	109.0	0	37.3	0	26.02	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   401.63	0	 10.0448	0	34.1649	0	26.216	0	126.0	0	44.5	0	21.24	0
7597Hawaii	 1	C	05/23/2012	21:59	201.94	 22.671		   381.52	0	 10.4768	0	34.1621	0	26.14	0	135.3	0	48.3	0	18.64	0
