//0																									
//Oxygen, 1.1
//Nitrate, 1, 1, -1.2, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		1098.06	0	2.8149	0	34.402	0	27.384	0	10.67	0	3.19	0	46.23	0	0.04	0	0.000121	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		998.21	0	2.9312	0	34.375	0	27.351	0	13.97	0	4.19	0	45.76	0	0.04	0	0.000123	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		951.08	0	3.011	0	34.3572	0	27.328	0	15.73	0	4.72	0	45.54	0	0.03	0	0.000123	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		900.81	0	3.0949	0	34.3362	0	27.302	0	16.17	0	4.86	0	45.54	0	0.04	0	0.000125	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		850.94	0	3.1891	0	34.3167	0	27.277	0	17.05	0	5.14	0	45.19	0	0.05	0	0.000127	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		801.24	0	3.2676	0	34.3011	0	27.256	0	18.26	0	5.52	0	45.20	0	0.04	0	0.000135	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		751.63	0	3.3626	0	34.2797	0	27.229	0	19.14	0	5.79	0	44.89	0	0.03	0	0.000127	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		701.45	0	3.4684	0	34.2513	0	27.194	0	19.58	0	5.94	0	44.89	0	0.04	0	0.000129	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		651.24	0	3.5897	0	34.2228	0	27.158	0	21.45	0	6.53	0	44.65	0	0.04	0	0.000129	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		600.98	0	3.6962	0	34.1866	0	27.117	0	23.32	0	7.11	0	44.35	0	0.04	0	0.000129	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		551.28	0	3.8217	0	34.1511	0	27.074	0	27.39	0	8.38	0	43.84	0	0.04	0	0.000133	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		501.1	0	3.9125	0	34.1235	0	27.041	0	32.23	0	9.88	0	43.53	0	0.04	0	0.000129	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		451.17	0	3.9839	0	34.0798	0	26.998	0	38.06	0	11.68	0	43.19	0	0.04	0	0.000133	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		401.69	0	3.9488	0	34.018	0	26.951	0	45.98	0	14.10	0	42.76	0	0.03	0	0.000133	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		381.45	0	3.9406	0	33.9965	0	26.934	0	49.17	0	15.07	0	42.84	0	0.04	0	0.00014	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		361.61	0	3.9529	0	33.9726	0	26.913	0	53.46	0	16.39	0	42.37	0	0.04	0	0.00015	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		351.56	0	3.9656	0	33.9633	0	26.904	0	56.10	0	17.20	0	42.16	0	0.02	0	0.000133	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		341.65	0	3.9819	0	33.952	0	26.893	0	59.07	0	18.12	0	42.13	0	0.03	0	0.000135	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		330.93	0	3.9806	0	33.9318	0	26.877	0	63.36	0	19.43	0	41.71	0	0.04	0	0.000137	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		321.31	0	3.9655	0	33.9202	0	26.869	0	66.00	0	20.23	0	41.66	0	0.04	0	0.000137	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		310.75	0	3.955	0	33.8974	0	26.851	0	69.74	0	21.37	0	41.64	0	0.04	0	0.00015	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		301.62	0	3.9308	0	33.8846	0	26.844	0	71.72	0	21.96	0	41.27	0	0.03	0	0.000137	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		290.92	0	3.9346	0	33.8716	0	26.832	0	76.01	0	23.27	0	40.91	0	0.04	0	0.00014	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		281.36	0	3.935	0	33.8633	0	26.826	0	78.98	0	24.18	0	40.92	0	0.02	0	0.000137	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		271.51	0	3.9528	0	33.852	0	26.814	0	82.50	0	25.27	0	40.35	0	0.02	0	0.000142	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		261.14	0	3.9416	0	33.8397	0	26.806	0	86.57	0	26.51	0	40.18	0	0.04	0	0.00014	0
7601STNP	1	C	2/16/2012	16:43	215.024	50.048		251.33	0	3.9611	0	33.8218	0	26.789	0	91.85	0	28.13	0	39.49	0	0.04	0	0.000142	0
