//0																									
//Oxygen, 1.11
//Nitrate, 1,1,5.5,0
//Nitrate, 8,1,0,-10
//Nitrate, 13, 1,0,-35
//Nitrate, 17, 1,0,20
//Nitrate, 23,1,0,5
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1499.33	0	  0.7764	0	34.7066	0	27.814	0	192.25	0	54.67	0	34.51	0	0.07	0	0.000106	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1398.97	0	  0.8186	0	34.7079	0	27.812	0	191.36	0	54.48	0	34.46	0	0.08	0	0.000106	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1299.03	0	  0.8578	0	34.7102	0	27.811	0	190.48	0	54.29	0	34.53	0	0.09	0	0.000110	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1198.50	0	  0.9044	0	34.7118	0	27.808	0	189.26	0	54.00	0	34.45	0	0.09	0	0.000109	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1099.53	0	  0.9613	0	34.7141	0	27.806	0	188.15	0	53.77	0	34.45	0	0.09	0	0.000112	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   999.07	0	  1.0246	0	34.7166	0	27.803	0	186.26	0	53.31	0	34.40	0	0.09	0	0.000109	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   951.48	0	  1.0561	0	34.7180	0	27.801	0	185.48	0	53.14	0	34.42	0	0.08	0	0.000109	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   901.28	0	  1.0932	0	34.7192	0	27.799	0	184.48	0	52.90	0	34.51	0	0.10	0	0.000116	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   851.20	0	  1.1241	0	34.7201	0	27.797	0	183.48	0	52.66	0	34.61	0	0.08	0	0.000110	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   801.26	0	  1.1585	0	34.7214	0	27.795	0	182.48	0	52.42	0	34.53	0	0.08	0	0.000113	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   750.92	0	  1.1971	0	34.7228	0	27.793	0	181.15	0	52.09	0	34.61	0	0.09	0	0.000114	0
