//0																									
//Oxygen, 1.14
//Nitrate, 1,1,2.9,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1598.72	0	  0.6993	0	34.7003	0	27.815	0	198.47	0	56.33	0	34.96	0	0.00	0	0.000083	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1499.26	0	  0.7341	0	34.7010	0	27.813	0	195.97	0	55.67	0	35.04	0	0.01	0	0.000080	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1399.36	0	  0.7710	0	34.7022	0	27.811	0	194.94	0	55.43	0	34.90	0	0.01	0	0.000083	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1299.71	0	  0.8213	0	34.7047	0	27.809	0	193.69	0	55.15	0	34.78	0	0.00	0	0.000085	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1199.62	0	  0.8748	0	34.7063	0	27.806	0	192.32	0	54.83	0	34.67	0	0.01	0	0.000082	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		  1099.23	0	  0.9223	0	34.7085	0	27.804	0	190.95	0	54.51	0	34.94	0	0.01	0	0.000110	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   999.57	0	  0.9774	0	34.7110	0	27.802	0	189.24	0	54.10	0	34.77	0	0.00	0	0.000089	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   951.23	0	  1.0128	0	34.7123	0	27.8	0	188.21	0	53.86	0	34.84	0	0.01	0	0.000087	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   900.66	0	  1.0406	0	34.7135	0	27.799	0	187.07	0	53.57	0	34.76	0	0.01	0	0.000087	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   851.62	0	  1.0678	0	34.7147	0	27.797	0	186.16	0	53.35	0	34.72	0	0.02	0	0.000093	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   801.44	0	  1.0995	0	34.7154	0	27.795	0	185.14	0	53.10	0	34.59	0	0.00	0	0.000093	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   751.11	0	  1.1364	0	34.7167	0	27.793	0	183.88	0	52.79	0	34.71	0	0.01	0	0.000087	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   701.15	0	  1.1709	0	34.7177	0	27.791	0	182.63	0	52.47	0	34.64	0	0.01	0	0.000090	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   650.76	0	  1.2073	0	34.7189	0	27.789	0	181.49	0	52.20	0	34.54	0	0.01	0	0.000092	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   601.21	0	  1.2451	0	34.7200	0	27.787	0	180.92	0	52.08	0	34.51	0	0.01	0	0.000092	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   551.45	0	  1.2757	0	34.7205	0	27.785	0	179.78	0	51.79	0	34.56	0	0.02	0	0.000093	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   501.66	0	  1.3096	0	34.7206	0	27.782	0	178.64	0	51.51	0	34.50	0	0.01	0	0.000095	0
7614SoOcn	 1	C	04/01/2014	17:04	210.026	-66.989		   451.55	0	  1.3387	0	34.7212	0	27.78	0	178.07	0	51.39	0	34.71	0	0.01	0	0.000095	0
