//0																									
//Oxygen, 1.03
//Nitrate, 1, 1,0, 0
//Nitrate, 89, 1, -2, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		999.67	0	1.0907	0	34.7173	0	27.798	0	199.82	0	57.29	0	32.73	0	0.04	0	0.000094	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		951.28	0	1.1335	0	34.7183	0	27.795	0	199.00	0	57.12	0	32.77	0	0.05	0	0.000097	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		900.8	0	1.1652	0	34.7193	0	27.793	0	198.58	0	57.05	0	32.79	0	0.04	0	0.000094	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		851.08	0	1.2076	0	34.7212	0	27.791	0	197.86	0	56.91	0	33.10	0	0.05	0	0.000096	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		801.46	0	1.2412	0	34.7209	0	27.788	0	197.45	0	56.84	0	32.84	0	0.04	0	0.000096	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		751.56	0	1.2921	0	34.7232	0	27.786	0	196.83	0	56.73	0	32.63	0	0.05	0	0.000104	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		701.2	0	1.329	0	34.7225	0	27.782	0	196.32	0	56.64	0	33.09	0	0.04	0	0.000096	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		651.13	0	1.3208	0	34.7179	0	27.779	0	196.11	0	56.57	0	33.01	0	0.05	0	0.000097	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		601.07	0	1.4252	0	34.7227	0	27.774	0	194.77	0	56.33	0	33.67	0	0.05	0	0.000096	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		550.81	0	1.5157	0	34.7273	0	27.77	0	192.82	0	55.90	0	33.27	0	0.05	0	0.000104	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		500.87	0	1.5495	0	34.7258	0	27.766	0	191.48	0	55.56	0	33.46	0	0.05	0	0.000102	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		451.2	0	1.5173	0	34.7136	0	27.759	0	191.79	0	55.59	0	34.01	0	0.05	0	0.000129	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		401.63	0	1.6054	0	34.7154	0	27.753	0	189.52	0	55.06	0	33.96	0	0.05	0	0.000106	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		381.33	0	1.6311	0	34.7155	0	27.75	0	188.49	0	54.80	0	34.58	0	0.05	0	0.000102	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		361.64	0	1.6202	0	34.7104	0	27.747	0	188.28	0	54.72	0	34.29	0	0.04	0	0.00011	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		351.59	0	1.6176	0	34.7089	0	27.746	0	188.08	0	54.66	0	34.58	0	0.05	0	0.000109	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		341.44	0	1.5198	0	34.6969	0	27.745	0	189.21	0	54.85	0	34.42	0	0.04	0	0.00012	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		331.04	0	1.4772	0	34.6921	0	27.745	0	190.65	0	55.20	0	34.67	0	0.04	0	0.00012	0
7619SoOcn	1	C	03/03/2013	07:22	150.091	-65.002		321.75	0	1.4966	0	34.6916	0	27.743	0	190.65	0	55.23	0	34.78	0	0.05	0	0.000114	0
