//0																									
//Oxygen, 1.13
//Nitrate, 1, 1, 0, 0
//Nitrate, 15, 1, -3, 0
//Nitrate, 16, 1, 3, 0
//Nitrate, 95, 1, 0, -5.4
//Nitrate, 111, 1, 0, -15
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		999.69	0	1.4512	0	34.7314	0	27.779	0	195.04	0	56.45	0	32.07	0	0.05	0	0.00011	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		951.56	0	1.4861	0	34.7318	0	27.776	0	193.00	0	55.91	0	31.95	0	0.06	0	0.000108	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		901.65	0	1.5339	0	34.7328	0	27.773	0	191.76	0	55.62	0	32.01	0	0.06	0	0.000113	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		851.57	0	1.5789	0	34.7334	0	27.77	0	190.52	0	55.32	0	32.05	0	0.05	0	0.000119	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		801.56	0	1.6233	0	34.7335	0	27.766	0	189.39	0	55.06	0	32.06	0	0.06	0	0.000115	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		751.56	0	1.6578	0	34.7326	0	27.762	0	188.60	0	54.87	0	32.14	0	0.06	0	0.000117	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		700.93	0	1.6929	0	34.7319	0	27.758	0	187.58	0	54.63	0	32.19	0	0.06	0	0.000119	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		651.05	0	1.7255	0	34.7304	0	27.754	0	186.45	0	54.34	0	32.31	0	0.06	0	0.00012	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		600.88	0	1.7546	0	34.7276	0	27.749	0	185.32	0	54.05	0	32.39	0	0.06	0	0.000131	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		551.44	0	1.7889	0	34.7241	0	27.744	0	184.08	0	53.73	0	32.62	0	0.07	0	0.000117	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		501.59	0	1.8256	0	34.7195	0	27.737	0	182.38	0	53.29	0	32.67	0	0.07	0	0.000119	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		451.64	0	1.8519	0	34.7146	0	27.73	0	181.03	0	52.93	0	32.99	0	0.06	0	0.000119	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		401.1	0	1.8744	0	34.7062	0	27.721	0	179.22	0	52.42	0	33.33	0	0.06	0	0.00012	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		381.02	0	1.877	0	34.7036	0	27.719	0	178.77	0	52.29	0	33.16	0	0.07	0	0.000127	0
7620SoOcn	1	C	3/4/2013	12:57	149.19	-63.31		359.25	0	1.8807	0	34.7001	0	27.716	0	178.20	0	52.13	0	33.32	0	0.06	0	0.000131	0
