//0																													
//Oxygen, 1.16
//Nitrate, 1, 1, 0.7,0
//Nitrate, 5, 1, -3.5, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1498.67	0	 -0.0140	0	34.6672	0	27.842	0	222.72	0	62.03	0	33.94	0	0.00	0	0.000081	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1399.65	0	  0.0155	0	34.6683	0	27.841	0	219.94	0	61.30	0	34.14	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1299.23	0	  0.0471	0	34.6699	0	27.84	0	218.43	0	60.93	0	33.97	0	0.00	0	0.000085	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1198.82	0	  0.0837	0	34.6715	0	27.839	0	215.41	0	60.15	0	34.41	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1099.82	0	  0.1204	0	34.6728	0	27.837	0	213.09	0	59.56	0	34.24	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   998.86	0	  0.1689	0	34.6752	0	27.835	0	210.19	0	58.82	0	34.54	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   951.23	0	  0.1871	0	34.6762	0	27.835	0	209.03	0	58.53	0	34.63	0	0.01	0	0.000085	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   901.76	0	  0.2084	0	34.6774	0	27.834	0	208.34	0	58.37	0	34.69	0	0.00	0	0.000087	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   851.69	0	  0.2338	0	34.6779	0	27.833	0	206.71	0	57.95	0	34.79	0	0.00	0	0.000084	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   801.52	0	  0.2601	0	34.6793	0	27.832	0	204.51	0	57.37	0	34.89	0	0.01	0	0.000088	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   751.42	0	  0.2830	0	34.6806	0	27.831	0	203.35	0	57.08	0	34.86	0	0.00	0	0.000088	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   700.88	0	  0.3049	0	34.6813	0	27.83	0	201.72	0	56.66	0	35.23	0	0.00	0	0.000087	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   650.95	0	  0.3257	0	34.6820	0	27.829	0	200.10	0	56.23	0	35.24	0	0.01	0	0.000088	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   601.52	0	  0.3455	0	34.6829	0	27.828	0	199.06	0	55.97	0	35.26	0	0.01	0	0.000090	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   551.10	0	  0.3714	0	34.6840	0	27.827	0	197.55	0	55.58	0	35.29	0	0.00	0	0.000087	0
