//0																									
//Oxygen, 1.07
//Nitrate, 1, 1, 0,0
//pH, 1, 0, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		999.49	0	4.0992	0	34.4748	0	27.308	0	35.20	0	10.87	0		8	7.7015	0	7.4598	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		951.21	0	4.249	0	34.4626	0	27.282	0	32.10	0	9.94	0		8	7.6727	0	7.4339	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		901.53	0	4.3986	0	34.4432	0	27.249	0	28.36	0	8.81	0		8	7.6621	0	7.4246	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		851.3	0	4.5451	0	34.4165	0	27.21	0	24.93	0	7.78	0		8	7.6490	0	7.4130	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		801.55	0	4.6396	0	34.3971	0	27.183	0	23.01	0	7.19	0		8	7.6403	0	7.4047	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		750.76	0	4.7518	0	34.3243	0	27.11	0	20.33	0	6.37	0		8	7.6193	0	7.3854	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		701.02	0	4.9454	0	34.2599	0	27.034	0	19.90	0	6.26	0		8	7.6087	0	7.3767	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		650.7	0	5.1954	0	34.2008	0	26.955	0	25.04	0	7.92	0		8	7.6109	0	7.3806	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		601.01	0	5.5827	0	34.1441	0	26.86	0	37.66	0	12.02	0		8	7.6313	0	7.4031	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		551.1	0	6.2221	0	34.0989	0	26.739	0	56.07	0	18.16	0		8	7.6699	0	7.4458	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		500.95	0	7.3453	0	34.1149	0	26.597	0	80.25	0	26.68	0		8	7.7294	0	7.5146	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		451.31	0	8.2004	0	34.0905	0	26.451	0	113.63	0	38.52	0		8	7.7995	0	7.5893	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		400.69	0	9.6564	0	34.0939	0	26.222	0	149.69	0	52.42	0		8	7.9032	0	7.7035	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		381.47	0	10.1312	0	34.0948	0	26.143	0	164.03	0	58.04	0		8	7.9216	0	7.7266	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		360.9	0	10.6706	0	34.0937	0	26.049	0	179.76	0	64.36	0		8	7.9622	0	7.7709	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		351.32	0	11.0544	0	34.0938	0	25.981	0	180.83	0	65.28	0		8	7.9504	0	7.7654	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		340.74	0	11.3725	0	34.0965	0	25.926	0	178.48	0	64.87	0		8	7.9614	0	7.7796	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		331.03	0	11.5885	0	34.1025	0	25.891	0	180.62	0	65.95	0		8	7.9631	0	7.7840	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		320.88	0	11.8834	0	34.1109	0	25.843	0	177.41	0	65.19	0		8	7.9690	0	7.7934	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		311.58	0	12.5791	0	34.1267	0	25.724	0	182.22	0	67.95	0		8	7.9893	0	7.8218	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		301.38	0	13.0811	0	34.1704	0	25.662	0	188.21	0	70.94	0		8	7.9998	0	7.8384	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		291.49	0	13.3701	0	34.1968	0	25.627	0	189.60	0	71.90	0		8	8.0038	0	7.8460	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		280.98	0	13.8564	0	34.2405	0	25.565	0	190.57	0	73.01	0		8	8.0141	0	7.8623	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		271.36	0	14.4093	0	34.2868	0	25.488	0	192.71	0	74.69	0		8	8.0246	0	7.8797	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		261.13	0	15.4602	0	34.4168	0	25.371	0	195.17	0	77.32	0		8	8.0292	0	7.8991	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		251	0	16.206	0	34.5002	0	25.275	0	194.74	0	78.33	0		8	8.0304	0	7.9110	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		241.21	0	16.8072	0	34.5639	0	25.19	0	189.07	0	76.97	0		8	8.0237	0	7.9135	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		231.5	0	17.7039	0	34.7039	0	25.096	0	190.14	0	78.83	0		8	8.0280	0	7.9306	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		220.74	0	18.5922	0	34.8472	0	24.999	0	191.32	0	80.73	0		8	8.0426	0	7.9569	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		210.79	0	19.4155	0	34.9902	0	24.912	0	195.60	0	83.89	0		8	8.0510	0	7.9768	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		200.73	0	20.0374	0	35.0977	0	24.842	0	198.06	0	85.98	0		8	8.0534	0	7.9880	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		191.37	0	20.5474	0	35.197	0	24.791	0	202.23	0	88.67	0		8	8.0623	0	8.0037	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		180.7	0	20.7415	0	35.2335	0	24.77	0	206.08	0	90.69	0		8	8.0677	0	8.0112	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		171.27	0	21.067	0	35.262	0	24.706	0	208.12	0	92.15	0		8	8.0723	0	8.0201	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		161.43	0	21.4048	0	35.3047	0	24.649	0	211.33	0	94.16	0		8	8.0760	0	8.0283	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		151.49	0	21.5731	0	35.3264	0	24.621	0	214.64	0	95.94	0		8	8.0817	0	8.0358	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		141.27	0	21.7898	0	35.3404	0	24.573	0	218.71	0	98.15	0		8	8.0867	0	8.0434	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		131.07	0	21.9436	0	35.3286	0	24.52	0	222.67	0	100.19	0		8	8.0892	0	8.0477	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		121.25	0	22.2524	0	35.2969	0	24.405	0	224.81	0	101.69	0		8	8.0864	0	8.0496	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		111.4	0	22.51	0	35.3198	0	24.351	0	222.67	0	101.20	0		8	8.0876	0	8.0543	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		101.71	0	22.8794	0	35.3016	0	24.229	0	224.70	0	102.78	0		8	8.0885	0	8.0605	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		96.88	0	23.1165	0	35.2847	0	24.145	0	227.59	0	104.53	0		8	8.0881	0	8.0636	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		91.77	0	23.3401	0	35.2792	0	24.074	0	228.34	0	105.28	0		8	8.0874	0	8.0663	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		86.72	0	23.6283	0	35.2686	0	23.98	0	229.62	0	106.39	0		8	8.0862	0	8.0695	0
7672Hawaii	1	C	10/3/2012	6:20	202.042	22.804		81.95	0	24.0405	0	35.2589	0	23.848	0	229.94	0	107.30	0		8	8.0844	0	8.0741	0
