//0																					
//Oxygen, 1.03
//Nitrate, 1, 1,0,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   601.16	0	  5.4050	0	34.1583	0	26.894	0	40.17	0	12.77	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   551.41	0	  6.0439	0	34.0508	0	26.723	0	72.41	0	23.35	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   501.32	0	  7.1251	0	34.0270	0	26.556	0	109.90	0	36.34	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   451.13	0	  8.3706	0	34.0674	0	26.405	0	140.29	0	47.73	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   401.12	0	  9.2185	0	34.0950	0	26.295	0	155.22	0	53.83	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   381.32	0	  9.5896	0	34.1117	0	26.248	0	161.92	0	56.62	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   361.56	0	  9.8947	0	34.1201	0	26.204	0	168.61	0	59.36	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   351.63	0	 10.0910	0	34.1265	0	26.176	0	169.74	0	60.02	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   341.57	0	 10.4645	0	34.1312	0	26.116	0	178.40	0	63.60	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   331.71	0	 10.8941	0	34.1625	0	26.067	0	193.13	0	69.51	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   321.32	0	 11.1016	0	34.1603	0	26.028	0	192.40	0	69.55	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   310.97	0	 11.6575	0	34.2041	0	25.963	0	198.69	0	72.70	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   301.24	0	 11.8644	0	34.2205	0	25.939	0	203.94	0	74.96	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   291.68	0	 12.1886	0	34.2318	0	25.887	0	207.24	0	76.70	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   281.76	0	 12.6113	0	34.2543	0	25.825	0	208.47	0	77.85	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   271.36	0	 13.2972	0	34.3076	0	25.735	0	208.16	0	78.88	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   261.36	0	 13.9374	0	34.3633	0	25.651	0	209.40	0	80.42	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   251.61	0	 14.1189	0	34.3667	0	25.617	0	209.40	0	80.72	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   241.48	0	 14.4174	0	34.4115	0	25.592	0	209.19	0	81.16	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   231.72	0	 15.2968	0	34.5027	0	25.48	0	207.65	0	82.04	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   221.72	0	 16.0161	0	34.5905	0	25.394	0	206.62	0	82.84	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   211.00	0	 17.2848	0	34.7341	0	25.222	0	202.91	0	83.46	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   201.02	0	 17.7390	0	34.8072	0	25.175	0	203.53	0	84.48	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   190.78	0	 19.1859	0	34.9925	0	24.973	0	200.34	0	85.56	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   180.95	0	 19.5123	0	35.0457	0	24.935	0	201.78	0	86.72	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   171.20	0	 19.8544	0	35.0834	0	24.878	0	201.98	0	87.38	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   161.58	0	 20.4651	0	35.1515	0	24.774	0	202.19	0	88.49	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   150.84	0	 20.8600	0	35.2024	0	24.711	0	204.35	0	90.11	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   141.43	0	 21.4278	0	35.2641	0	24.608	0	204.97	0	91.35	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   131.55	0	 22.1049	0	35.3358	0	24.48	0	209.30	0	94.45	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   121.61	0	 22.6033	0	35.3850	0	24.38	0	215.68	0	98.22	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   111.70	0	 22.6624	0	35.3757	0	24.355	0	220.32	0	100.43	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		   100.60	0	 22.7068	0	35.3711	0	24.338	0	220.94	0	100.79	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		    95.94	0	 22.7185	0	35.3703	0	24.334	0	221.24	0	100.95	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		    91.45	0	 22.7847	0	35.3545	0	24.302	0	221.35	0	101.11	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		    86.60	0	 22.9183	0	35.3100	0	24.225	0	220.11	0	100.75	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		    81.61	0	 22.9454	0	35.2855	0	24.196	0	219.91	0	100.69	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		    76.56	0	 22.9456	0	35.2704	0	24.183	0	220.52	0	100.97	0		8
8374HOTpH	 1	C	03/27/2012	14:23	201.936	 22.678		    71.79	0	 22.9570	0	35.2194	0	24.136	0	221.45	0	101.38	0		8
