//0																													
//Oxygen, 1.062
//Nitrate, 1, 0.94,0,0
//Nitrate, 19, 0.94,1,0
//Nitrate, 20, 0.94,0,-4
//Nitrate, 64, 0.94, 0, 2
//pH, 1, 0, -1.345
//pH, 10, 0, -0.073
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   900.79	0	  4.2822	0	34.4034	0	27.229	0	33.56	0	10.40	0	43.03	0	0.03	0	0.000100	0	7.6731	0	7.4331	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   850.54	0	  4.4587	0	34.3648	0	27.177	0	31.12	0	9.68	0	42.78	0	0.04	0	0.000096	0	7.6612	0	7.4230	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   800.92	0	  4.7871	0	34.3181	0	27.101	0	27.93	0	8.76	0	42.59	0	0.04	0	0.000094	0	7.6435	0	7.4097	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   751.59	0	  5.1129	0	34.2731	0	27.024	0	27.51	0	8.69	0	41.70	0	0.03	0	0.000099	0	7.6363	0	7.4060	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   701.57	0	  5.0165	0	34.1623	0	26.945	0	36.75	0	11.57	0	40.89	0	0.02	0	0.000094	0	7.6472	0	7.4130	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   650.79	0	  5.2790	0	34.0964	0	26.859	0	51.40	0	16.28	0	39.15	0	0.04	0	0.000103	0	7.6726	0	7.4383	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   601.63	0	  5.7556	0	34.0810	0	26.786	0	63.40	0	20.31	0	37.45	0	0.02	0	0.000097	0	7.6951	0	7.4640	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   550.71	0	  6.3697	0	34.0164	0	26.652	0	103.44	0	33.60	0	32.23	0	0.01	0	0.000103	0	7.7944	0	7.5620	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   500.62	0	  7.4224	0	34.0443	0	26.528	0	115.55	0	38.47	0	28.36	0	0.01	0	0.000100	0	7.8309	0	7.6086	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   451.71	0	  8.7270	0	34.0650	0	26.348	0	156.65	0	53.72	0	22.52	0	0.00	0	0.000099	0	7.9118	0	7.6998	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   400.76	0	 10.0311	0	34.1184	0	26.18	0	183.62	0	64.84	0	17.13	0	-0.01	0	0.000097	0	7.9786	0	7.7780	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   380.66	0	 10.7950	0	34.1467	0	26.071	0	193.92	0	69.64	0	14.65	0	-0.01	0	0.000099	0	7.9993	0	7.8074	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   361.75	0	 11.5544	0	34.1909	0	25.971	0	199.97	0	73.01	0	12.48	0	-0.01	0	0.000097	0	8.0183	0	7.8351	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   350.00	0	 11.9283	0	34.2111	0	25.919	0	204.33	0	75.20	0	11.47	0	-0.02	0	0.000102	0	8.0227	0	7.8442	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   341.23	0	 12.2717	0	34.2237	0	25.865	0	203.69	0	75.52	0	10.84	0	-0.01	0	0.000099	0	8.0215	0	7.8478	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   331.19	0	 12.6744	0	34.2449	0	25.805	0	201.89	0	75.49	0	10.15	0	-0.01	0	0.000099	0	8.0277	0	7.8591	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   320.71	0	 13.0339	0	34.2632	0	25.75	0	201.78	0	76.02	0	9.19	0	-0.01	0	0.000100	0	8.0300	0	7.8661	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   311.38	0	 13.1995	0	34.2734	0	25.725	0	202.31	0	76.49	0	8.84	0	-0.01	0	0.000097	0	8.0322	0	7.8702	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   301.36	0	 13.7592	0	34.3031	0	25.637	0	200.19	0	76.58	0	7.84	0	0.00	0	0.000099	0	8.0324	0	7.8783	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   291.65	0	 14.3184	0	34.3423	0	25.554	0	197.43	0	76.40	0	6.81	0	-0.01	0	0.000099	0	8.0401	0	7.8933	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   281.39	0	 15.3091	0	34.4502	0	25.433	0	196.05	0	77.45	0	5.44	0	0.00	0	0.000099	0	8.0403	0	7.9078	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   269.18	0	 16.1009	0	34.5222	0	25.317	0	194.98	0	78.28	0	4.87	0	0.00	0	0.000097	0	8.0464	0	7.9247	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   260.48	0	 16.7332	0	34.5956	0	25.234	0	193.50	0	78.68	0	4.11	0	0.00	0	0.000096	0	8.0411	0	7.9289	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   251.69	0	 17.1535	0	34.6584	0	25.189	0	192.75	0	79.05	0	3.64	0	-0.01	0	0.000103	0	8.0552	0	7.9478	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   241.55	0	 17.9644	0	34.7986	0	25.113	0	195.20	0	81.37	0	2.65	0	0.01	0	0.000105	0	8.0605	0	7.9646	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   231.31	0	 18.2859	0	34.8426	0	25.072	0	198.28	0	83.18	0	2.20	0	0.02	0	0.000100	0	8.0638	0	7.9721	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   221.66	0	 18.9445	0	34.9314	0	24.982	0	197.74	0	84.04	0	2.13	0	0.03	0	0.000096	0	8.0623	0	7.9803	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   211.63	0	 19.7219	0	35.0447	0	24.879	0	198.06	0	85.46	0	1.32	0	0.04	0	0.000094	0	8.0628	0	7.9922	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   201.39	0	 20.2249	0	35.1250	0	24.816	0	200.40	0	87.31	0	0.63	0	0.07	0	0.000102	0	8.0683	0	8.0046	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   191.67	0	 20.3880	0	35.1492	0	24.793	0	202.20	0	88.37	0	0.20	0	0.09	0	0.000100	0	8.0734	0	8.0115	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   180.63	0	 20.7811	0	35.1812	0	24.714	0	204.33	0	89.96	0	-0.04	0	0.12	0	0.000105	0	8.0815	0	8.0245	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   171.12	0	 21.3230	0	35.2309	0	24.609	0	206.35	0	91.77	0	-0.59	0	0.14	0	0.000105	0	8.0908	0	8.0410	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   161.60	0	 21.7023	0	35.2682	0	24.536	0	210.81	0	94.41	0	-0.93	0	0.21	0	0.000108	0	8.0909	0	8.0466	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   151.18	0	 21.9191	0	35.2645	0	24.472	0	213.57	0	96.02	0	-0.84	0	0.32	0	0.000117	0	8.0948	0	8.0532	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   139.14	0	 22.1516	0	35.2727	0	24.413	0	215.59	0	97.33	0	-0.24	0	0.39	0	0.000118	0	8.1141	0	8.0740	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   129.78	0	 22.5224	0	35.3064	0	24.336	0	217.39	0	98.82	0	-0.78	0	0.28	0	0.000132	0	8.1054	0	8.0714	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   120.58	0	 22.4704	0	35.2408	0	24.295	0	218.24	0	99.07	0	-0.82	0	0.25	0	0.000127	0	8.1046	0	8.0696	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   110.83	0	 22.6563	0	35.2655	0	24.262	0	218.13	0	99.37	0	-0.63	0	0.22	0	0.000133	0	8.1100	0	8.0771	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		   101.43	0	 22.6537	0	35.1983	0	24.205	0	219.83	0	100.10	0	-0.76	0	0.18	0	0.000144	0	8.1023	0	8.0697	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		    93.57	0	 22.7283	0	35.1509	0	24.143	0	219.41	0	100.01	0	-0.26	0	0.18	0	0.000144	0	8.1112	0	8.0787	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		    85.99	0	 22.9834	0	35.1660	0	24.082	0	220.15	0	100.80	0	-0.20	0	0.15	0	0.000136	0	8.1085	0	8.0799	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		    78.59	0	 23.2316	0	35.1187	0	23.969	0	220.15	0	101.22	0	-0.70	0	0.13	0	0.000136	0	8.1013	0	8.0769	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		    71.93	0	 23.3482	0	35.0465	0	23.872	0	219.83	0	101.23	0	-0.65	0	0.12	0	0.000144	0	8.1037	0	8.0807	0
8486Hawaii	 1	C	05/20/2013	14:48	202.057	 22.737		    66.52	0	 23.3746	0	34.9596	0	23.79	0	220.79	0	101.67	0	-0.27	0	0.11	0	0.000139	0	8.1085	0	8.0854	0
