//0																					
//Oxygen, 1.11
//Nitrate, 1, 0.93, 1, 0
//Nitrate, 9, 0.93, 0, 3
//Nitrate, 40, 0.93, 0, 1
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		851.1	0	4.9279	0	34.6511	0	27.357	0	27.53	0	8.68	0	45.20	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		800.81	0	5.1303	0	34.6238	0	27.311	0	23.75	0	7.52	0	44.87	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		751.61	0	5.4149	0	34.5791	0	27.239	0	22.31	0	7.11	0	44.17	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		701.18	0	5.5962	0	34.5593	0	27.2	0	20.20	0	6.47	0	43.56	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		651.3	0	5.8226	0	34.4735	0	27.101	0	24.53	0	7.89	0	42.40	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		600.79	0	6.1001	0	34.3651	0	26.975	0	45.62	0	14.76	0	40.15	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		551.35	0	6.8879	0	34.3333	0	26.843	0	70.15	0	23.11	0	36.29	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		500.59	0	7.8941	0	34.3624	0	26.722	0	84.58	0	28.52	0	32.59	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		451.48	0	8.3102	0	34.3055	0	26.612	0	117.55	0	40.00	0	28.60	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		401.07	0	9.3802	0	34.3037	0	26.442	0	171.61	0	59.81	0	22.15	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		381.11	0	9.9963	0	34.3288	0	26.361	0	183.82	0	64.95	0	19.68	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		361.62	0	10.4877	0	34.3528	0	26.297	0	193.03	0	68.95	0	17.99	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		351.49	0	11.0975	0	34.3847	0	26.216	0	200.13	0	72.44	0	15.94	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		341.44	0	11.3487	0	34.3984	0	26.183	0	204.46	0	74.42	0	15.14	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		331.57	0	11.5195	0	34.3996	0	26.153	0	204.46	0	74.69	0	14.81	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		320.91	0	11.9255	0	34.4068	0	26.083	0	202.46	0	74.60	0	13.95	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		310.91	0	12.1956	0	34.4178	0	26.042	0	202.13	0	74.91	0	13.31	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		301.3	0	12.5147	0	34.4343	0	25.995	0	203.46	0	75.92	0	12.24	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		291.45	0	13.0285	0	34.4646	0	25.92	0	203.57	0	76.79	0	11.10	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		281.43	0	13.672	0	34.5235	0	25.841	0	203.80	0	77.93	0	9.83	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		269.3	0	14.5709	0	34.5919	0	25.712	0	202.69	0	78.96	0	8.35	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		261.11	0	14.8825	0	34.6356	0	25.682	0	202.35	0	79.35	0	7.95	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		251.41	0	15.8736	0	34.7432	0	25.556	0	200.02	0	80.05	0	6.49	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		241.24	0	16.9567	0	34.874	0	25.418	0	198.36	0	81.14	0	5.58	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		231.18	0	17.7078	0	34.9805	0	25.33	0	198.91	0	82.61	0	4.88	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		219.64	0	18.8578	0	35.1307	0	25.174	0	201.24	0	85.49	0	3.82	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		211.44	0	19.7202	0	35.2568	0	25.061	0	200.91	0	86.79	0	3.43	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		200.9	0	20.1714	0	35.34	0	25.013	0	201.58	0	87.85	0	3.11	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		191.3	0	20.6338	0	35.4293	0	24.966	0	202.02	0	88.84	0	2.76	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		181.65	0	20.7494	0	35.4509	0	24.954	0	203.02	0	89.47	0	2.72	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		170.9	0	21.1523	0	35.5023	0	24.888	0	203.13	0	90.21	0	2.27	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		160.99	0	21.4434	0	35.5187	0	24.822	0	205.24	0	91.63	0	1.75	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		151.75	0	21.7369	0	35.5225	0	24.744	0	207.13	0	92.96	0	1.44	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		139.74	0	22.3743	0	35.5536	0	24.59	0	211.68	0	96.10	0	1.30	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		131.29	0	22.7452	0	35.5755	0	24.502	0	213.56	0	97.61	0	1.25	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		121.15	0	22.866	0	35.5798	0	24.471	0	216.23	0	99.04	0	1.30	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		110.95	0	22.9811	0	35.5807	0	24.439	0	218.78	0	100.41	0	1.32	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		101.02	0	22.9922	0	35.5738	0	24.429	0	219.67	0	100.84	0	1.20	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		96.25	0	22.9923	0	35.5739	0	24.429	0	219.89	0	100.94	0	1.28	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		91.31	0	22.9922	0	35.5734	0	24.429	0	220.11	0	101.04	0	1.38	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		86.57	0	22.9924	0	35.5725	0	24.428	0	220.00	0	100.99	0	1.35	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		80.97	0	22.9912	0	35.5727	0	24.429	0	220.11	0	101.04	0	1.37	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		76.27	0	22.9908	0	35.5725	0	24.429	0	220.34	0	101.14	0	1.32	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		71.6	0	22.9904	0	35.5721	0	24.428	0	220.22	0	101.09	0	1.20	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		66.43	0	22.9938	0	35.567	0	24.423	0	220.34	0	101.14	0	1.25	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		60.99	0	22.9942	0	35.565	0	24.421	0	220.56	0	101.24	0	1.18	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		56.18	0	22.9927	0	35.5654	0	24.422	0	220.67	0	101.29	0	1.15	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		51.02	0	22.9947	0	35.5653	0	24.421	0	220.67	0	101.29	0	1.16	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		45.87	0	22.9945	0	35.5655	0	24.422	0	220.67	0	101.29	0	1.04	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		41.65	0	22.9909	0	35.5654	0	24.423	0	220.67	0	101.29	0	1.25	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		36.13	0	22.9897	0	35.5651	0	24.423	0	220.56	0	101.23	0	1.06	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		31.5	0	22.986	0	35.5652	0	24.424	0	220.67	0	101.28	0	1.09	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		25.98	0	22.9868	0	35.565	0	24.423	0	220.67	0	101.28	0	1.30	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		21.46	0	22.9859	0	35.5646	0	24.423	0	220.67	0	101.28	0	1.10	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		16.58	0	22.9837	0	35.5651	0	24.424	0	220.67	0	101.28	0	1.09	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		10.8	0	22.9819	0	35.5657	0	24.425	0	220.78	0	101.32	0	0.94	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821		7.26	0	22.9803	0	35.5656	0	24.426	0	220.78	0	101.32	0	1.04	0
8497Hawaii	1	C	2/15/2013	14:53	202.106	22.821															
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		951.67	0	4.6349	0	34.6883	0	27.422	0	32.08	0	10.05	0	43.99	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		900.79	0	4.8174	0	34.6682	0	27.385	0	29.53	0	9.29	0	43.85	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		851.04	0	4.9641	0	34.6465	0	27.349	0	26.42	0	8.34	0	43.72	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		801.35	0	5.1338	0	34.6192	0	27.306	0	24.42	0	7.74	0	43.44	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		751.33	0	5.3627	0	34.6017	0	27.264	0	20.20	0	6.43	0	43.16	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		701.09	0	5.5426	0	34.5635	0	27.21	0	22.09	0	7.06	0	42.45	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		650.57	0	5.7432	0	34.5261	0	27.154	0	21.09	0	6.77	0	41.80	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		600.68	0	5.7219	0	34.4284	0	27.076	0	28.86	0	9.26	0	40.95	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		551.38	0	6.2041	0	34.3447	0	26.945	0	48.95	0	15.88	0	38.12	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		501.63	0	7.3025	0	34.3198	0	26.773	0	83.03	0	27.62	0	33.17	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		450.84	0	8.2047	0	34.3382	0	26.656	0	101.57	0	34.49	0	29.24	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		398.6	0	9.4685	0	34.3083	0	26.432	0	174.60	0	60.97	0	20.87	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		381.12	0	10.2455	0	34.3422	0	26.33	0	187.70	0	66.69	0	17.66	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		361.63	0	11.002	0	34.3754	0	26.226	0	197.14	0	71.21	0	15.00	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		351.02	0	11.2895	0	34.3944	0	26.19	0	203.13	0	73.84	0	14.17	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		341.3	0	11.6305	0	34.4003	0	26.133	0	202.80	0	74.26	0	13.60	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		331.58	0	12.124	0	34.4152	0	26.053	0	203.35	0	75.25	0	12.06	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		321.49	0	12.9523	0	34.4646	0	25.935	0	202.80	0	76.37	0	10.48	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		310.38	0	13.5515	0	34.5097	0	25.854	0	202.69	0	77.30	0	9.15	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		301.32	0	13.7813	0	34.5345	0	25.828	0	204.02	0	78.19	0	8.62	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		290.92	0	14.1429	0	34.5649	0	25.779	0	203.69	0	78.65	0	8.05	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		281.41	0	14.8348	0	34.6257	0	25.684	0	201.69	0	79.01	0	6.96	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		271.26	0	16.2366	0	34.7828	0	25.507	0	198.25	0	79.92	0	5.25	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		261.72	0	16.3585	0	34.8025	0	25.496	0	199.25	0	80.53	0	5.14	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		251.5	0	16.9236	0	34.8725	0	25.425	0	198.25	0	81.04	0	4.52	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		241.46	0	17.6482	0	34.9803	0	25.344	0	198.36	0	82.28	0	3.98	0
8497Hawaii	2	C	2/16/2013	18:38	202.14	22.853		231.33	0	17.7854	0	35.0028	0	25.33	0	198.69	0	82.65	0	4.00	0
