//0																													
//Oxygen, 1.12
//Nitrate, 1, 1, -9.4, 0
//Nitrate, 2, 1, -0.9, -6
//Nitrate, 12, 1, 0, 0
//pH, 1, -0.187, 0
//pH, 2, 0.03, 0
//pH, 3, 0.008, 0
//pH, 6, 0, -.05
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1599.19	0	2.7609	0	34.5474	0	27.509	0	183.23	0	54.75	0	33.57	0	0.01	0	0.000085	0	7.8380	0	7.6016	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1499.27	0	2.9109	0	34.4943	0	27.45	0	186.14	0	55.81	0	33.64	0	-0.01	0	0.000084	0	7.8382	0	7.6006	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1399.46	0	3.4849	0	34.5081	0	27.402	0	175.06	0	53.24	0	33.13	0	0	0	0.000088	0	7.8504	0	7.6164	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1299.51	0	3.78	0	34.4792	0	27.347	0	179.31	0	54.92	0	32.43	0	0.01	0	0.000085	0	7.8597	0	7.6257	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1199.13	0	4.3386	0	34.4525	0	27.263	0	185.70	0	57.64	0	31.24	0	0	0	0.000086	0	7.8714	0	7.6409	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		1099.32	0	4.6964	0	34.4331	0	27.206	0	191.63	0	60.00	0	30.45	0	0.01	0	0.000094	0	7.8812	0	7.6515	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		998.85	0	5.3092	0	34.4153	0	27.117	0	199.70	0	63.44	0	28.88	0	0	0	0.000091	0	7.8929	0	7.6675	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		950.93	0	5.6538	0	34.41	0	27.07	0	206.30	0	66.07	0	28.02	0	-0.01	0	0.000089	0	7.9011	0	7.6782	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		901.77	0	6.157	0	34.4449	0	27.034	0	201.60	0	65.35	0	26.96	0	0	0	0.000091	0	7.9062	0	7.6884	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		851.11	0	6.653	0	34.4627	0	26.982	0	204.40	0	67.04	0	25.57	0	-0.01	0	0.000097	0	7.9148	0	7.7016	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		800.9	0	7.1678	0	34.492	0	26.935	0	205.97	0	68.37	0	24.33	0	0	0	0.000089	0	7.9229	0	7.7146	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		750.88	0	7.5102	0	34.5075	0	26.899	0	210.78	0	70.53	0	23.10	0	-0.01	0	0.000091	0	7.9309	0	7.7251	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		701.66	0	7.894	0	34.5356	0	26.866	0	213.92	0	72.22	0	21.89	0	0	0	0.000089	0	7.9409	0	7.7381	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		651.24	0	8.3028	0	34.5676	0	26.831	0	220.98	0	75.31	0	20.14	0	-0.01	0	0.000097	0	7.9555	0	7.7556	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		601.42	0	8.5916	0	34.5797	0	26.797	0	236.88	0	81.27	0	18.66	0	-0.02	0	0.000095	0	7.9696	0	7.7709	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		551.57	0	8.7531	0	34.5791	0	26.771	0	248.75	0	85.65	0	16.81	0	-0.01	0	0.000089	0	7.9931	0	7.7932	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		501.3	0	8.9231	0	34.5999	0	26.762	0	257.60	0	89.04	0	15.43	0	-0.01	0	0.000088	0	8.0085	0	7.8080	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		451.47	0	8.9977	0	34.5975	0	26.748	0	272.16	0	94.23	0	14.62	0	-0.02	0	0.000101	0	8.0185	0	7.8167	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		401.27	0	9.098	0	34.6091	0	26.742	0	272.38	0	94.53	0	14.36	0	-0.02	0	0.000106	0	8.0185	0	7.8164	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		381.34	0	9.105	0	34.6043	0	26.737	0	272.16	0	94.46	0	14.34	0	-0.01	0	0.000098	0	8.0201	0	7.8174	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		360.84	0	9.272	0	34.6252	0	26.728	0	267.90	0	93.34	0	14.26	0	0	0	0.000098	0	8.0180	0	7.8172	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		351.42	0	9.3002	0	34.6286	0	26.726	0	267.57	0	93.28	0	14.27	0	-0.01	0	0.000106	0	8.0195	0	7.8186	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		341.01	0	9.3882	0	34.6373	0	26.719	0	267.57	0	93.47	0	14.10	0	-0.01	0	0.000098	0	8.0203	0	7.8202	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		331.73	0	9.6528	0	34.6821	0	26.713	0	263.54	0	92.63	0	13.90	0	-0.01	0	0.0001	0	8.0180	0	7.8216	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		321.42	0	9.8002	0	34.7098	0	26.712	0	260.18	0	91.76	0	13.77	0	0.01	0	0.000101	0	8.0157	0	7.8213	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		311.08	0	10.0419	0	34.7627	0	26.716	0	256.14	0	90.85	0	13.23	0	-0.01	0	0.000098	0	8.0170	0	7.8256	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		301.61	0	10.2722	0	34.7955	0	26.704	0	254.13	0	90.60	0	12.67	0	0	0	0.000103	0	8.0196	0	7.8309	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		291.21	0	10.449	0	34.8295	0	26.702	0	253.90	0	90.89	0	11.92	0	-0.01	0	0.000097	0	8.0240	0	7.8372	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		281.45	0	10.6093	0	34.8591	0	26.699	0	255.58	0	91.83	0	11.25	0	-0.01	0	0.000095	0	8.0294	0	7.8441	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		270.88	0	10.7379	0	34.8829	0	26.697	0	257.94	0	92.94	0	10.70	0	-0.01	0	0.000111	0	8.0342	0	7.8500	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		261.39	0	11.0865	0	34.936	0	26.68	0	253.01	0	91.88	0	10.48	0	0	0	0.000097	0	8.0304	0	7.8512	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		250.8	0	11.2555	0	34.9653	0	26.674	0	252.90	0	92.19	0	10.08	0	0	0	0.000097	0	8.0327	0	7.8554	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		241.28	0	11.302	0	34.9725	0	26.672	0	251.33	0	91.72	0	10.28	0	0.01	0	0.000104	0	8.0316	0	7.8548	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		231.13	0	11.5186	0	35.0013	0	26.657	0	245.73	0	90.10	0	10.14	0	0	0	0.000103	0	8.0297	0	7.8559	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		220.93	0	11.5963	0	35.0143	0	26.654	0	243.71	0	89.52	0	10.04	0	0	0	0.000101	0	8.0312	0	7.8580	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		210.99	0	11.8121	0	35.0472	0	26.642	0	241.47	0	89.12	0	9.49	0	0.01	0	0.000103	0	8.0321	0	7.8616	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		201.12	0	11.9534	0	35.0696	0	26.634	0	240.02	0	88.86	0	9.37	0	0	0	0.0001	0	8.0351	0	7.8661	0
8514SoOcn	1	C	3/26/2015	20:17	143.871	-47.025		191.45	0	12.0951	0	35.089	0	26.624	0	238.67	0	88.64	0	9.28	0	0	0	0.00011	0	8.0347	0	7.8675	0
