//0																									
//Oxygen, 1.125
//Nitrate, 1,0,0,0
//pH, 1, -0.13,0
//pH, 2, 0.045,0
//pH, 3, 0.015,0
//pH, 5, 0,-0.077
//pH, 44, 0,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		1598.51	0	2.6988	0	34.5427	0	27.511	0	175.61	0	52.39	0		8	7.8176	8	7.5773	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		1499.75	0	2.8067	0	34.5094	0	27.473	0	177.30	0	53.02	0		8	7.8197	8	7.5774	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		1399.11	0	2.9668	0	34.4688	0	27.424	0	181.24	0	54.40	0		8	7.8245	8	7.5808	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		1298.22	0	3.1236	0	34.4313	0	27.377	0	186.41	0	56.16	0		8	7.8322	8	7.5867	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		1199.55	0	3.3257	0	34.3915	0	27.324	0	193.39	0	58.54	0		8	7.8421	8	7.5953	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		1098.76	0	3.639	0	34.3557	0	27.261	0	201.26	0	61.38	0		8	7.8553	8	7.6084	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		999.17	0	4.0052	0	34.3207	0	27.193	0	210.04	0	64.62	0		8	7.8681	8	7.6220	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		951.34	0	4.2412	0	34.3092	0	27.157	0	213.86	0	66.17	0		8	7.8382	8	7.5962	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		901.1	0	4.5681	0	34.3109	0	27.12	0	215.21	0	67.12	0		8	7.8405	8	7.6012	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		850.67	0	4.8664	0	34.3043	0	27.08	0	219.71	0	69.01	0		8	7.8498	8	7.6123	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		801.45	0	5.1206	0	34.3037	0	27.049	0	223.20	0	70.53	0		8	7.8583	8	7.6220	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		751.52	0	5.4414	0	34.3078	0	27.012	0	225.79	0	71.90	0		8	7.8697	8	7.6353	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		701.35	0	5.7113	0	34.3036	0	26.975	0	232.43	0	74.49	0		8	7.8819	8	7.6486	8
9018SoOcn	1	C	4/13/2014	18:42	210.032	-52.543		651.7	0	6.0419	0	34.3211	0	26.947	0	235.35	0	76.02	0		8	7.8960	8	7.6645	8
