//0																													
//Oxygen, 1.215
//Nitrate, 1,1,0,0
//pH, 1, -0.088, 0
//pH, 2, 0.032, 0
//pH, 3, 0.005, -0.125449
//pH, 35, 0, -0.0405
//pH, 65, 0, 0
//Chl,  0.1697,  -0.00033
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1498.85	0	2.1721	0	34.6922	0	27.683	0	185.41	0	54.64	0	33.72	0	0.002027	0	0.000098	0	7.8619	8	7.6039	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1398.5	0	2.2552	0	34.6734	0	27.66	0	181.76	0	53.67	0	34.14	0	0.003724	0	0.000099	0	7.8555	8	7.5959	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1299.59	0	2.3099	0	34.6497	0	27.635	0	177.51	0	52.48	0	34.67	0	0.002027	0	0.000098	0	7.8522	8	7.5904	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1198.89	0	2.3621	0	34.6337	0	27.617	0	176.66	0	52.29	0	34.89	0	0.003724	0	0.000099	0	7.8504	8	7.5861	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		1098.63	0	2.431	0	34.6069	0	27.589	0	175.69	0	52.08	0	35.37	0	0.002027	0	0.000109	0	7.8477	8	7.5813	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		999.35	0	2.5182	0	34.5648	0	27.546	0	176.05	0	52.29	0	35.83	0	0.005421	0	0.000101	0	7.8445	8	7.5763	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		951.03	0	2.5613	0	34.5438	0	27.525	0	176.54	0	52.48	0	35.80	0	0.003724	0	0.000103	0	7.8367	8	7.5682	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		900.79	0	2.5845	0	34.523	0	27.506	0	178.12	0	52.98	0	36.04	0	0.005421	0	0.000101	0	7.8370	8	7.5671	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		851.09	0	2.6141	0	34.5036	0	27.487	0	179.70	0	53.48	0	36.04	0	0.005421	0	0.000103	0	7.8379	8	7.5667	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		801.73	0	2.6596	0	34.4735	0	27.458	0	182.37	0	54.33	0	36.17	0	0.003724	0	0.000104	0	7.8393	8	7.5670	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		750.82	0	2.6742	0	34.4308	0	27.422	0	186.99	0	55.71	0	36.18	0	0.003724	0	0.000106	0	7.8403	8	7.5665	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		701.06	0	2.7817	0	34.4055	0	27.391	0	191.85	0	57.30	0	36.00	0	0.003724	0	0.000111	0	7.8486	8	7.5739	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		651.23	0	2.8458	0	34.3759	0	27.36	0	196.95	0	58.90	0	35.75	0	0.003724	0	0.000107	0	7.8578	8	7.5816	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		601.47	0	2.9425	0	34.3325	0	27.315	0	205.46	0	61.58	0	35.44	0	0.007118	0	0.000111	0	7.8666	8	7.5894	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		551.51	0	3.0832	0	34.3097	0	27.282	0	210.68	0	63.36	0	34.94	0	0.002027	0	0.000111	0	7.8757	8	7.5980	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		501.37	0	3.1968	0	34.2779	0	27.244	0	218.09	0	65.76	0	34.21	0	0.003724	0	0.000107	0	7.8886	8	7.6097	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		451.15	0	3.3334	0	34.2382	0	27.198	0	230.24	0	69.64	0	33.46	0	0.002027	0	0.000112	0	7.9022	8	7.6224	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		401.22	0	3.4387	0	34.1929	0	27.149	0	242.39	0	73.48	0	32.40	0	0.002027	0	0.000112	0	7.9230	8	7.6413	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		381.03	0	3.4026	0	34.1652	0	27.131	0	251.02	0	76.01	0	31.93	0	0.002027	0	0.000114	0	7.9315	8	7.6479	8
9031SoOcn	1	C	4/12/2014	03:35	209.989	-55.01		361.48	0	3.1805	0	34.12	0	27.117	0	264.87	0	79.74	0	31.48	0	0.003724	0	0.000123	0	7.9472	8	7.6586	8
