//0																													
//Oxygen, 0.973
//Nitrate, 1,1,0,0
//pH, 1,-0.005,0
//pH, 2,0.03,0
//pH, 11,0,-0.0652
//Chl,  0.1697,  -0.013406
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		1498.61	0	0.6795	0	34.7023	0	27.819	0	201.61	0	57.19	0	35.55	0	0.030376	0	0.000115	0	7.8792	8	7.5924	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		1399.7	0	0.7092	0	34.7036	0	27.817	0	200.24	0	56.85	0	35.61	0	0.028679	0	0.000118	0	7.8822	8	7.5923	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		1299.18	0	0.7439	0	34.7049	0	27.816	0	199.08	0	56.57	0	35.66	0	0.030376	0	0.000118	0	7.8847	8	7.5918	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		1198.81	0	0.7924	0	34.707	0	27.813	0	198.10	0	56.36	0	35.59	0	0.028679	0	0.000118	0	7.8876	8	7.5918	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		1098.45	0	0.8535	0	34.7093	0	27.81	0	196.45	0	55.98	0	35.65	0	0.032073	0	0.000231	0	7.8895	8	7.5910	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		999.67	0	0.9213	0	34.7115	0	27.807	0	195.38	0	55.77	0	35.53	0	0.030376	0	0.000123	0	7.8931	8	7.5921	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		951.38	0	0.9614	0	34.7128	0	27.805	0	194.50	0	55.58	0	35.68	0	0.028679	0	0.000126	0	7.8915	8	7.5900	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		901.28	0	0.9862	0	34.7138	0	27.803	0	194.21	0	55.53	0	35.59	0	0.030376	0	0.000125	0	7.8925	8	7.5896	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		851.26	0	1.0175	0	34.7151	0	27.802	0	192.95	0	55.22	0	35.72	0	0.030376	0	0.000125	0	7.8927	8	7.5885	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		801.26	0	1.0516	0	34.7165	0	27.8	0	191.29	0	54.79	0	35.73	0	0.028679	0	0.000133	0	7.8946	8	7.5891	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		750.93	0	1.0885	0	34.7178	0	27.798	0	188.86	0	54.15	0	35.86	0	0.03377	0	0.000132	0	7.8895	8	7.5833	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		701.1	0	1.1165	0	34.7188	0	27.797	0	187.89	0	53.91	0	35.81	0	0.028679	0	0.000134	0	7.8917	8	7.5840	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		650.66	0	1.1495	0	34.7196	0	27.795	0	187.98	0	53.98	0	35.72	0	0.030376	0	0.000154	0	7.8944	8	7.5853	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		601.69	0	1.1992	0	34.7213	0	27.792	0	184.97	0	53.19	0	35.85	0	0.030376	0	0.000127	0	7.8881	8	7.5786	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		551.37	0	1.2246	0	34.7219	0	27.79	0	185.84	0	53.47	0	35.66	0	0.03377	0	0.000136	0	7.8956	8	7.5841	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		501.26	0	1.2541	0	34.7222	0	27.788	0	188.86	0	54.38	0	35.41	0	0.030376	0	0.00013	0	7.9027	8	7.5894	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		450.72	0	1.2981	0	34.7226	0	27.785	0	187.89	0	54.16	0	35.47	0	0.030376	0	0.000129	0	7.8996	8	7.5856	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		401.52	0	1.3439	0	34.7225	0	27.781	0	186.23	0	53.75	0	35.46	0	0.030376	0	0.000134	0	7.9001	8	7.5850	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		381.54	0	1.3608	0	34.7223	0	27.779	0	185.65	0	53.60	0	35.47	0	0.028679	0	0.00014	0	7.8971	8	7.5819	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		361.57	0	1.3756	0	34.7218	0	27.778	0	184.19	0	53.20	0	35.62	0	0.028679	0	0.000137	0	7.8958	8	7.5802	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		351.61	0	1.3814	0	34.7217	0	27.777	0	183.80	0	53.10	0	35.56	0	0.030376	0	0.00013	0	7.8950	8	7.5793	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		341.49	0	1.3867	0	34.7211	0	27.776	0	183.70	0	53.08	0	35.71	0	0.030376	0	0.000132	0	7.8947	8	7.5787	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		331.6	0	1.3936	0	34.7206	0	27.775	0	183.22	0	52.95	0	35.75	0	0.028679	0	0.000132	0	7.8932	8	7.5770	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		321.71	0	1.3969	0	34.7204	0	27.775	0	182.92	0	52.87	0	35.63	0	0.030376	0	0.000133	0	7.8930	8	7.5766	8
9092SoOcn	1	C	04/07/2014	23:03	210.072	-60		311.56	0	1.4058	0	34.7189	0	27.773	0	182.53	0	52.76	0	35.62	0	0.028679	0	0.000133	0	7.8949	8	7.5781	8
