//0																													
//Oxygen, 1.17
//Nitrate, 1,1,0,0
//pH, 1, -0.1, 0
//pH, 2, 0.05, 00
//pH, 5, 0, -0.41683
//pH, 27, 0, -0.0800
//pH, 38, 0 , 0
//Chl,  0.1697,  -0.0022
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1599.13	0	2.9661	0	34.4703	0	27.425	0	181.82	0	54.58	0	35.16	0	0.003897	0	0.000106	0	7.8195	8	7.5802	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1497.94	0	3.1301	0	34.4337	0	27.379	0	184.51	0	55.60	0	35.01	0	0.000503	0	0.000106	0	7.8257	8	7.5848	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1399.75	0	3.3654	0	34.3984	0	27.325	0	189.66	0	57.47	0	34.47	0	0.003897	0	0.000102	0	7.8368	8	7.5950	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1299.47	0	3.6776	0	34.3579	0	27.259	0	197.15	0	60.18	0	33.71	0	0.0022	0	0.000106	0	7.8491	8	7.6074	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1199.17	0	4.0626	0	34.3279	0	27.192	0	205.22	0	63.23	0	32.68	0	0.000503	0	0.000102	0	7.8651	8	7.6241	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		1099.94	0	4.5536	0	34.3099	0	27.121	0	212.24	0	66.16	0	31.39	0	0.0022	0	0.000106	0	7.8816	8	7.6428	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		999.79	0	5.2424	0	34.3175	0	27.045	0	214.46	0	67.98	0	29.82	0	0.003897	0	0.000104	0	7.8992	8	7.6652	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		951.67	0	5.5131	0	34.316	0	27.01	0	221.01	0	70.50	0	28.81	0	0.0022	0	0.000104	0	7.8994	8	7.6675	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		900.84	0	5.7515	0	34.3175	0	26.981	0	225.58	0	72.37	0	28.15	0	0.000503	0	0.000104	0	7.9111	8	7.6800	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		851.23	0	5.9475	0	34.3088	0	26.949	0	233.30	0	75.19	0	26.93	0	0.000503	0	0.000109	0	7.9241	8	7.6930	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		801.09	0	6.0409	0	34.2914	0	26.922	0	244.65	0	79.01	0	25.91	0	0.000503	0	0.000102	0	7.9398	8	7.7071	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		751.59	0	6.2479	0	34.2992	0	26.901	0	251.55	0	81.64	0	24.99	0	0.0022	0	0.000107	0	7.9524	8	7.7199	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		700.97	0	6.6565	0	34.3378	0	26.878	0	248.51	0	81.44	0	24.22	0	0.000503	0	0.00011	0	7.9558	8	7.7270	8
9095SoOcn	1	C	4/15/2014	07:13	210.11	-49.932		650.76	0	6.958	0	34.3721	0	26.865	0	246.40	0	81.34	0	23.58	0	0.000503	0	0.000107	0	7.9609	8	7.7344	8
