//0																													
//Oxygen, 0.996
//Nitrate, 1, 1, -1.8, 0
//Nitrate, 2, 1, 0, -5
//pH, 1, -0.26, 0
//pH, 2, .04, 0
//pH, 3, .01, -.083
//Chl,  1,  0.009
//BB, 1, 0.0000127
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1599.22	0	0.6645	0	34.6907	0	27.81	0	209.06	0	59.28	0	37.31	8	0.001	0	0.0000703	0	7.8709	4	7.6093	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1498.92	0	0.7165	0	34.6922	0	27.807	0	207.07	0	58.79	0	37.41	8	0.001	0	0.0000683	0	7.8739	4	7.6094	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1398.57	0	0.798	0	34.6959	0	27.804	0	205.47	0	58.46	0	37.37	8	0.001	0	0.0000703	0	7.8791	4	7.6120	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1299.41	0	0.8791	0	34.6987	0	27.8	0	204.68	0	58.36	0	37.28	8	0.001	0	0.0000713	0	7.8815	4	7.6120	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1199.77	0	0.9692	0	34.7032	0	27.796	0	202.98	0	58.01	0	37.21	8	0.001	0	0.0000713	0	7.8844	4	7.6126	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		1098.96	0	1.0591	0	34.7057	0	27.791	0	201.49	0	57.72	0	37.05	8	0.001	0	0.0000763	0	7.8884	4	7.6142	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		997.79	0	1.166	0	34.7069	0	27.783	0	199.50	0	57.31	0	37.02	8	0.011	0	0.0000713	0	7.8914	4	7.6151	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		950.68	0	1.2298	0	34.7087	0	27.779	0	198.40	0	57.09	0	37.03	8	0.001	0	0.0000703	0	7.8872	4	7.6106	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		901.05	0	1.2963	0	34.7095	0	27.774	0	197.11	0	56.81	0	36.93	8	0.001	0	0.0000733	0	7.8883	4	7.6108	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		851.12	0	1.3643	0	34.7101	0	27.769	0	195.71	0	56.51	0	36.96	8	0.011	0	0.0000733	0	7.8872	4	7.6091	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		800.65	0	1.4247	0	34.7099	0	27.764	0	193.82	0	56.05	0	37.17	8	0.011	0	0.0000763	0	7.8869	4	7.6080	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		750.87	0	1.4885	0	34.7089	0	27.757	0	191.33	0	55.42	0	37.33	8	0.001	0	0.0001023	0	7.8830	4	7.6037	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		701.49	0	1.533	0	34.705	0	27.75	0	189.94	0	55.08	0	37.51	8	0.001	0	0.0000793	0	7.8805	4	7.6004	4
9096SoOcn	1	C	12/11/2014	12:34	0.015	-53.513		650.95	0	1.5702	0	34.7012	0	27.744	0	187.45	0	54.41	0	37.66	8	0.001	0	0.0000763	0	7.8760	4	7.5951	4
