//0																													
//Oxygen, 1.046
//Nitrate, 1, 1, 1, 0
//pH, 1, -0.045, 0
//pH, 2, 0.035, 0.04
//Chl,  1,  -0.012
//BB, 1, 0.000024
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		1598.51	0	0.1786	0	34.6615	0	27.824	0	216.10	0	60.49	0	36.14	8	0.002	0	0.000062	0	7.8868	8	7.5992	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		1498.01	0	0.2122	0	34.6633	0	27.822	0	212.86	0	59.63	0	36.21	8	0.002	0	0.000061	0	7.8835	8	7.5933	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		1399.56	0	0.2486	0	34.6653	0	27.821	0	211.08	0	59.19	0	36.14	8	0.002	0	0.000063	0	7.8856	8	7.5925	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		1299.48	0	0.2869	0	34.6668	0	27.82	0	209.93	0	58.93	0	36.29	8	-0.008	0	0.000062	0	7.8895	8	7.5933	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		1199.37	0	0.3372	0	34.6691	0	27.818	0	206.79	0	58.13	0	36.52	8	0.002	0	0.000062	0	7.8876	8	7.5890	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		1099.43	0	0.385	0	34.671	0	27.816	0	205.12	0	57.73	0	36.42	8	0.002	0	0.000063	0	7.8892	8	7.5878	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		999.9	0	0.4321	0	34.6731	0	27.814	0	203.34	0	57.30	0	36.49	8	0.012	0	0.000066	0	7.8902	8	7.5861	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		951.5	0	0.4571	0	34.6741	0	27.813	0	202.71	0	57.16	0	36.54	8	0.002	0	0.000063	0	7.8865	8	7.5815	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		900.97	0	0.4796	0	34.675	0	27.812	0	201.98	0	56.99	0	36.61	8	0.012	0	0.000065	0	7.8878	8	7.5813	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		851.57	0	0.5027	0	34.6759	0	27.811	0	201.46	0	56.87	0	36.61	8	0.002	0	0.000068	0	7.8880	8	7.5801	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		800.87	0	0.5284	0	34.6768	0	27.81	0	201.04	0	56.80	0	36.65	8	0.002	0	0.000063	0	7.8904	8	7.5811	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		751.38	0	0.5592	0	34.6777	0	27.808	0	201.56	0	56.99	0	36.56	8	0.012	0	0.000065	0	7.8945	8	7.5836	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		701.12	0	0.5916	0	34.6794	0	27.807	0	202.61	0	57.33	0	36.42	8	0.002	0	0.000068	0	7.9008	8	7.5881	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		648.6	0	0.6119	0	34.6792	0	27.805	0	200.83	0	56.86	0	36.52	8	0.002	0	0.000068	0	7.8983	8	7.5844	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		601.7	0	0.645	0	34.6802	0	27.803	0	200.31	0	56.76	0	36.45	8	0.002	0	0.00007	0	7.9007	8	7.5855	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		551.74	0	0.6857	0	34.6816	0	27.801	0	200.73	0	56.94	0	36.47	8	0.002	0	0.000069	0	7.9023	8	7.5859	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		501.03	0	0.6957	0	34.68	0	27.799	0	199.26	0	56.54	0	36.52	8	0.002	0	0.000066	0	7.9013	8	7.5835	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		451.61	0	0.7414	0	34.6816	0	27.797	0	199.05	0	56.55	0	36.50	8	0.002	0	0.000068	0	7.9024	8	7.5834	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		401.05	0	0.729	0	34.6771	0	27.794	0	199.26	0	56.59	0	36.60	8	0.012	0	0.000068	0	7.9034	8	7.5826	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		381.37	0	0.7633	0	34.6797	0	27.794	0	198.74	0	56.49	0	36.64	8	0.012	0	0.000069	0	7.9028	8	7.5818	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		361.49	0	0.7672	0	34.6787	0	27.793	0	198.64	0	56.47	0	36.54	8	0.002	0	0.000072	0	7.9027	8	7.5811	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		350.92	0	0.7745	0	34.6788	0	27.792	0	198.53	0	56.45	0	36.60	8	0.002	0	0.000073	0	7.9038	8	7.5819	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		341.33	0	0.7805	0	34.6785	0	27.791	0	198.43	0	56.43	0	36.52	8	0.002	0	0.000075	0	7.9054	8	7.5831	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		331.26	0	0.7933	0	34.6794	0	27.791	0	198.43	0	56.44	0	36.50	8	0.002	0	0.000075	0	7.9044	8	7.5821	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		318.75	0	0.7896	0	34.6781	0	27.79	0	198.43	0	56.44	0	36.65	8	0.002	0	0.000073	0	7.9031	8	7.5804	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		309.49	0	0.7978	0	34.678	0	27.79	0	198.22	0	56.39	0	36.59	8	0.012	0	0.000076	0	7.9049	8	7.5819	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		300.71	0	0.8004	0	34.6777	0	27.789	0	198.22	0	56.39	0	36.72	8	0.002	0	0.000092	0	7.9046	8	7.5814	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		291.7	0	0.8025	0	34.6772	0	27.788	0	198.11	0	56.37	0	36.55	8	0.012	0	0.000084	0	7.9053	8	7.5817	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		281.53	0	0.8145	0	34.6778	0	27.788	0	198.01	0	56.36	0	36.55	8	0.002	0	0.00009	0	7.9044	8	7.5807	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		270.85	0	0.8242	0	34.6781	0	27.787	0	197.90	0	56.34	0	36.58	8	0.002	0	0.000076	0	7.9061	8	7.5821	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		261.13	0	0.837	0	34.6779	0	27.786	0	197.80	0	56.33	0	36.54	8	0.002	0	0.000077	0	7.9062	8	7.5820	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		250.87	0	0.8358	0	34.6773	0	27.786	0	197.69	0	56.30	0	36.68	8	0.012	0	0.000079	0	7.9055	8	7.5810	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		240.78	0	0.8261	0	34.6752	0	27.785	0	197.80	0	56.31	0	36.59	8	0.022	0	0.000075	0	7.9057	8	7.5807	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		231.48	0	0.796	0	34.6716	0	27.784	0	198.32	0	56.42	0	36.64	8	0.032	0	0.000075	0	7.9067	8	7.5809	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		221.64	0	0.8036	0	34.6715	0	27.784	0	198.43	0	56.46	0	36.53	8	0.022	0	0.000089	0	7.9051	8	7.5792	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		210.95	0	0.7806	0	34.6683	0	27.783	0	198.53	0	56.45	0	36.61	8	0.032	0	0.000093	0	7.9052	8	7.5787	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		201.32	0	0.7401	0	34.6637	0	27.782	0	199.37	0	56.63	0	36.72	8	0.042	0	0.00007	0	7.9059	8	7.5784	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		191.2	0	0.7357	0	34.662	0	27.781	0	199.47	0	56.65	0	36.68	8	0.052	0	0.000077	0	7.9062	8	7.5783	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		181.5	0	0.7204	0	34.6575	0	27.779	0	200.00	0	56.77	0	36.69	8	0.092	0	0.000075	0	7.9067	8	7.5782	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		171.03	0	0.678	0	34.6546	0	27.78	0	200.62	0	56.89	0	36.62	8	0.092	0	0.000077	0	7.9079	8	7.5785	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		160.97	0	0.6787	0	34.6509	0	27.777	0	201.77	0	57.22	0	36.56	8	0.102	0	0.00008	0	7.9096	8	7.5796	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		149.18	0	0.4202	0	34.6285	0	27.779	0	207.74	0	58.50	0	36.48	8	0.122	0	0.000082	0	7.9174	8	7.5829	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		139.82	0	0.2774	0	34.6118	0	27.776	0	213.38	0	59.86	0	36.26	8	0.222	0	0.000084	0	7.9210	8	7.5840	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		131.04	0	0.2342	0	34.6047	0	27.773	0	216.00	0	60.52	0	36.01	8	0.182	0	0.000084	0	7.9258	8	7.5875	8
9099SoOcn	1	C	1/19/2015	22:11	0.058	-66.007		121.21	0	0.0449	0	34.5874	0	27.773	0	221.96	0	61.88	0	36.19	8	0.192	0	0.000084	0	7.9308	8	7.5892	8
