//0																									
//Oxygen, 1.126
//Nitrate, 1,1,0,0
//pH, 1, -0.165, 0
//pH, 2, .03, 0
//pH, 3, 0.010, 0
//pH, 4, 0.01, 0
//pH, 5, -0.001, -0.1008
//pH, 30, 0, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1697.99	0	3.0276	0	34.4479	0	27.401	0	187.37	0	56.32	0		8	7.8175	8	7.5879	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1599.76	0	3.1217	0	34.4281	0	27.375	0	188.94	0	56.92	0		8	7.8220	8	7.5901	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1499.28	0	3.2272	0	34.4073	0	27.347	0	191.87	0	57.94	0		8	7.8277	8	7.5935	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1399.29	0	3.3662	0	34.3885	0	27.317	0	195.02	0	59.09	0		8	7.8366	8	7.6003	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1298.68	0	3.6416	0	34.36	0	27.265	0	199.53	0	60.86	0		8	7.8471	8	7.6104	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1199.19	0	4.0892	0	34.3282	0	27.189	0	207.07	0	63.84	0		8	7.8628	8	7.6278	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		1098.68	0	4.7669	0	34.3095	0	27.096	0	213.71	0	66.97	0		8	7.8787	8	7.6484	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		999.48	0	5.4089	0	34.3072	0	27.016	0	222.27	0	70.73	0		8	7.8983	8	7.6721	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		950.57	0	5.7773	0	34.3089	0	26.971	0	228.35	0	73.30	0		8	7.8699	8	7.6495	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		901.64	0	6.0848	0	34.3138	0	26.935	0	235.00	0	75.98	0		8	7.8852	8	7.6663	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		851.59	0	6.3283	0	34.3227	0	26.91	0	240.74	0	78.29	0		8	7.8969	8	7.6788	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		801.36	0	6.5817	0	34.3353	0	26.886	0	245.92	0	80.45	0		8	7.9090	8	7.6918	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		751.32	0	6.8474	0	34.3523	0	26.864	0	251.32	0	82.74	0		8	7.9213	8	7.7052	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		700.92	0	7.0678	0	34.3689	0	26.847	0	255.04	0	84.40	0		8	7.9299	8	7.7145	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		651.5	0	7.2237	0	34.3795	0	26.834	0	256.95	0	85.35	0		8	7.9356	8	7.7202	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		600.94	0	7.3685	0	34.3902	0	26.822	0	260.44	0	86.80	0		8	7.9452	8	7.7294	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		551.32	0	7.5313	0	34.4048	0	26.811	0	262.25	0	87.74	0		8	7.9554	8	7.7394	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		501.45	0	7.7713	0	34.4292	0	26.796	0	265.17	0	89.22	0		8	7.9668	8	7.7517	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		451.54	0	7.9342	0	34.4494	0	26.788	0	267.99	0	90.51	0		8	7.9753	8	7.7602	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		399.7	0	8.1317	0	34.4732	0	26.779	0	272.83	0	92.57	0		8	7.9896	8	7.7744	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		380.95	0	8.1942	0	34.4813	0	26.776	0	274.97	0	93.43	0		8	7.9971	8	7.7815	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		361.22	0	8.2578	0	34.4902	0	26.774	0	278.80	0	94.88	0		8	8.0032	8	7.7873	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		350.69	0	8.2774	0	34.4915	0	26.772	0	279.81	0	95.26	0		8	8.0051	8	7.7890	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		341.32	0	8.286	0	34.4927	0	26.772	0	280.37	0	95.48	0		8	8.0064	8	7.7900	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		331.29	0	8.2918	0	34.4923	0	26.77	0	280.49	0	95.53	0		8	8.0073	8	7.7906	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		321.48	0	8.3139	0	34.4951	0	26.769	0	280.26	0	95.50	0		8	8.0076	8	7.7909	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		311.73	0	8.309	0	34.4934	0	26.769	0	279.92	0	95.37	0		8	8.0077	8	7.7906	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		301.43	0	8.3118	0	34.4918	0	26.767	0	279.59	0	95.26	0		8	8.0079	8	7.7905	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		291.28	0	8.3218	0	34.4921	0	26.766	0	279.25	0	95.17	0		8	8.0093	8	7.7916	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		281.21	0	8.3637	0	34.4974	0	26.764	0	279.59	0	95.38	0		8	8.0093	8	7.7918	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		271.29	0	8.354	0	34.4921	0	26.761	0	279.81	0	95.43	0		8	8.0105	8	7.7924	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		261.45	0	8.3705	0	34.4917	0	26.758	0	279.36	0	95.31	0		8	8.0101	8	7.7920	8
9101SoOcn	1	C	04/18/2014	18:43	209.85	-44.978		251.1	0	8.3898	0	34.4923	0	26.755	0	278.91	0	95.20	0		8	8.0115	8	7.7933	8
