//0																													
//Oxygen, 1.14
//Nitrate, 1,1,-3,0
//pH, 1, -.18,0
//pH, 2, -.1, 0
//pH, 3, .025, 0
//pH, 4, .015, 0
//pH, 5, .008, -.06
//pH, 8, 0, -.095
//Chl,  1,  -0.007
//BB, 1, 0.000024
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		  1598.96	0	 -0.0459	0	34.6610	0	27.839	0	226.29	0	62.97	0	35.26	0	0.037	0	0.000063	0	7.9024	0	7.6218	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		  1498.81	0	 -0.0125	0	34.6624	0	27.838	0	222.98	0	62.10	0	35.55	0	0.027	0	0.000063	0	7.9012	0	7.6179	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		  1398.71	0	  0.0237	0	34.6639	0	27.837	0	220.59	0	61.49	0	35.67	0	0.017	0	0.000059	0	7.9038	0	7.6174	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		  1299.20	0	  0.0604	0	34.6656	0	27.835	0	218.31	0	60.92	0	35.87	0	0.017	0	0.000064	0	7.9046	0	7.6154	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		  1198.81	0	  0.0943	0	34.6672	0	27.834	0	216.03	0	60.34	0	35.92	0	0.027	0	0.000066	0	7.9078	0	7.6156	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		  1099.68	0	  0.1263	0	34.6686	0	27.833	0	213.98	0	59.81	0	36.07	0	0.017	0	0.000063	0	7.9094	0	7.6141	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   999.61	0	  0.1598	0	34.6704	0	27.832	0	211.70	0	59.23	0	36.10	0	0.017	0	0.000066	0	7.9107	0	7.6125	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   951.60	0	  0.1800	0	34.6716	0	27.832	0	210.44	0	58.91	0	36.25	0	0.017	0	0.000064	0	7.8932	0	7.5952	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   901.46	0	  0.2003	0	34.6727	0	27.831	0	209.19	0	58.59	0	36.31	0	0.017	0	0.000077	0	7.8943	0	7.5948	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   851.13	0	  0.2229	0	34.6736	0	27.83	0	207.59	0	58.18	0	36.32	0	0.027	0	0.000067	0	7.8959	0	7.5949	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   801.45	0	  0.2467	0	34.6741	0	27.829	0	206.11	0	57.80	0	36.58	0	0.027	0	0.000067	0	7.8963	0	7.5940	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   750.39	0	  0.2720	0	34.6757	0	27.828	0	204.29	0	57.33	0	36.36	0	0.027	0	0.000063	0	7.8961	0	7.5925	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   701.61	0	  0.2980	0	34.6769	0	27.827	0	202.69	0	56.92	0	36.55	0	0.047	0	0.000071	0	7.8967	0	7.5918	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   651.31	0	  0.3253	0	34.6780	0	27.826	0	201.44	0	56.61	0	36.67	0	0.027	0	0.000074	0	7.8978	0	7.5915	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   601.20	0	  0.3486	0	34.6791	0	27.825	0	199.96	0	56.23	0	36.77	0	0.037	0	0.000072	0	7.8971	0	7.5895	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   551.30	0	  0.3727	0	34.6796	0	27.824	0	198.25	0	55.78	0	36.75	0	0.047	0	0.000069	0	7.8971	0	7.5882	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   501.72	0	  0.3930	0	34.6803	0	27.823	0	197.56	0	55.62	0	37.01	0	0.017	0	0.000067	0	7.8976	0	7.5873	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   450.84	0	  0.4235	0	34.6809	0	27.821	0	195.85	0	55.18	0	37.00	0	0.037	0	0.000069	0	7.8964	0	7.5850	0
9125SoOcn	 1	C	01/22/2015	05:31	359.958	-61.006		   401.42	0	  0.4489	0	34.6812	0	27.819	0	194.83	0	54.93	0	36.86	0	0.027	0	0.000069	0	7.8989	0	7.5860	0
