//0																													
//Oxygen, 1.03
//Nitrate, 1, 1, -2, 0
//pH, 1, -0.16, 0
//pH, 2, 0.03, -.04
//Chl,  1,  -0.002
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1498.59	0	2.3114	0	34.7403	0	27.709	0	199.10	0	58.90	0	33.50	8	0.032	0	0.000093	0	7.8928	0	7.6402	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1399.13	0	2.3347	0	34.7238	0	27.693	0	191.79	0	56.76	0	34.34	8	0.022	0	0.000092	0	7.8878	0	7.6326	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1299.73	0	2.4001	0	34.7086	0	27.675	0	187.98	0	55.72	0	34.73	8	0.012	0	0.000093	0	7.8855	0	7.6281	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1198.95	0	2.4603	0	34.6853	0	27.65	0	183.96	0	54.60	0	35.46	8	0.022	0	0.000123	0	7.8788	0	7.6195	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		1099.05	0	2.4851	0	34.6548	0	27.623	0	180.04	0	53.46	0	36.36	8	0.012	0	0.000097	0	7.8724	0	7.6106	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		999.15	0	2.5116	0	34.6235	0	27.595	0	177.37	0	52.69	0	37.09	8	0.012	0	0.000097	0	7.8665	0	7.6024	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		951.39	0	2.4742	0	34.5907	0	27.572	0	174.59	0	51.81	0	37.86	8	0.012	0	0.000102	0	7.8587	0	7.5936	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		901.35	0	2.4883	0	34.5699	0	27.553	0	174.28	0	51.73	0	38.12	8	0.022	0	0.000105	0	7.8556	0	7.5893	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		851.07	0	2.5074	0	34.5474	0	27.533	0	174.48	0	51.80	0	38.39	8	0.022	0	0.000107	0	7.8540	0	7.5865	0
9260SoOcn	1	C	1/28/2015	07:05	12.959	-49.011		801.37	0	2.5183	0	34.532	0	27.52	0	175.20	0	52.03	0	38.54	8	0.002	0	0.00014	0	7.8551	0	7.5860	0
