//0																													
//Oxygen, 1
//Nitrate, 1,1,15.3,0
//Nitrate, 2, 1,-8,0
//pH, 1, -0.1, 0
//pH, 2, 0.05, 0
//pH, 3, 0.02, 0.06
//Chl,  1,  -0.010
//BB, 1, 0.0000112
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1797.97	0	0.1295	0	34.6729	0	27.836	0	223.70	0	62.54	0	34.31	0	0.01	0	0.0000638	0	7.8860	8	7.6090	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1698.31	0	0.1631	0	34.674	0	27.835	0	217.80	0	60.94	0	34.62	0	0.01	0	0.0000638	0	7.8826	8	7.6030	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1598.68	0	0.2014	0	34.6759	0	27.833	0	215.90	0	60.47	0	34.39	0	0.01	0	0.0000638	0	7.8850	8	7.6024	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1499.76	0	0.2438	0	34.6783	0	27.832	0	213.90	0	59.98	0	34.50	0	0.01	0	0.0000638	0	7.8870	8	7.6017	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1399.34	0	0.2855	0	34.6801	0	27.831	0	212.00	0	59.51	0	34.51	0	0.02	0	0.0000658	0	7.8891	8	7.6008	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1299.2	0	0.3301	0	34.6821	0	27.829	0	210.40	0	59.13	0	34.36	0	0	0	0.0000658	0	7.8918	8	7.6006	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1199.2	0	0.3748	0	34.6842	0	27.827	0	208.60	0	58.70	0	34.53	0	0.01	0	0.0000638	0	7.8947	8	7.6006	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		1098.33	0	0.4245	0	34.686	0	27.825	0	207.50	0	58.46	0	34.50	0	0.01	0	0.0000658	0	7.8983	8	7.6013	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		999.37	0	0.4667	0	34.6878	0	27.823	0	206.50	0	58.25	0	34.54	0	0.01	0	0.0000668	0	7.9016	8	7.6016	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		949.64	0	0.4867	0	34.6895	0	27.823	0	205.90	0	58.11	0	34.45	0	0.02	0	0.0000668	0	7.8769	8	7.5776	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		901.59	0	0.5084	0	34.6902	0	27.822	0	205.00	0	57.89	0	34.38	0	0.01	0	0.0000638	0	7.8797	8	7.5789	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		851.36	0	0.5379	0	34.691	0	27.82	0	204.50	0	57.79	0	34.34	0	0.01	0	0.0000688	0	7.8831	8	7.5807	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		801.64	0	0.5636	0	34.6916	0	27.819	0	204.20	0	57.75	0	34.13	0	0.01	0	0.0000688	0	7.8864	8	7.5825	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		751.67	0	0.5943	0	34.6933	0	27.818	0	203.80	0	57.68	0	34.35	0	0.01	0	0.0000688	0	7.8914	8	7.5859	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		701.44	0	0.6222	0	34.6941	0	27.816	0	203.40	0	57.61	0	34.04	0	0.01	0	0.0000658	0	7.8939	8	7.5869	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		650.91	0	0.6531	0	34.6953	0	27.815	0	203.10	0	57.57	0	33.88	0	0.01	0	0.0000668	0	7.8979	8	7.5893	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		600.95	0	0.6954	0	34.6969	0	27.813	0	202.90	0	57.58	0	34.01	0	0.01	0	0.0000668	0	7.9013	8	7.5914	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		551.38	0	0.7302	0	34.6973	0	27.81	0	202.40	0	57.49	0	33.90	0	0.02	0	0.0000738	0	7.9041	8	7.5928	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		500.99	0	0.7633	0	34.6981	0	27.809	0	201.70	0	57.34	0	33.78	0	0.03	0	0.0000688	0	7.9049	8	7.5923	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		451.02	0	0.7894	0	34.6975	0	27.806	0	201.30	0	57.26	0	33.79	0	0	0	0.0000688	0	7.9065	8	7.5925	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		400.93	0	0.8168	0	34.6965	0	27.803	0	200.90	0	57.19	0	33.85	0	0.01	0	0.0000708	0	7.9072	8	7.5918	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		381.58	0	0.834	0	34.6979	0	27.803	0	200.60	0	57.13	0	33.87	0	0.01	0	0.0000688	0	7.9085	8	7.5926	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		361.01	0	0.8641	0	34.6976	0	27.8	0	200.10	0	57.03	0	33.80	0	0.01	0	0.0000718	0	7.9087	8	7.5926	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		351.21	0	0.8607	0	34.6978	0	27.801	0	200.10	0	57.03	0	33.87	0	0.01	0	0.0000718	0	7.9090	8	7.5925	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		341.14	0	0.869	0	34.6977	0	27.8	0	200.10	0	57.04	0	33.87	0	0	0	0.0000688	0	7.9086	8	7.5918	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		331.51	0	0.8638	0	34.6961	0	27.799	0	200.30	0	57.09	0	33.83	0	0.02	0	0.0000718	0	7.9091	8	7.5920	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		321.28	0	0.8649	0	34.6958	0	27.799	0	200.20	0	57.06	0	33.83	0	0.02	0	0.0000718	0	7.9094	8	7.5919	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		308.88	0	0.8653	0	34.6942	0	27.797	0	200.10	0	57.03	0	33.78	0	0.01	0	0.0000748	0	7.9089	8	7.5910	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		300.93	0	0.8456	0	34.6922	0	27.797	0	200.60	0	57.15	0	33.82	0	0.02	0	0.0000748	0	7.9100	8	7.5915	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		290.9	0	0.8599	0	34.692	0	27.796	0	200.60	0	57.17	0	33.91	0	0.01	0	0.0000708	0	7.9096	8	7.5910	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		280.77	0	0.8539	0	34.6911	0	27.796	0	200.50	0	57.13	0	33.97	0	0.01	0	0.0000718	0	7.9090	8	7.5900	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		270.96	0	0.8986	0	34.6933	0	27.794	0	199.90	0	57.02	0	33.89	0	0.02	0	0.0000708	0	7.9086	8	7.5900	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		261.21	0	0.8698	0	34.6904	0	27.794	0	200.00	0	57.01	0	33.66	0	0.01	0	0.0000708	0	7.9083	8	7.5890	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		251.38	0	0.8839	0	34.6903	0	27.793	0	200.00	0	57.03	0	33.80	0	0.01	0	0.0000848	0	7.9082	8	7.5888	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		240.85	0	0.8985	0	34.6906	0	27.792	0	199.40	0	56.88	0	33.82	0	0.01	0	0.0000708	0	7.9069	8	7.5874	8
9275SoOcn	1	C	1/18/2015	21:56	358.237	-67.66		231.54	0	0.8844	0	34.6871	0	27.79	0	199.60	0	56.92	0	33.91	0	0.01	0	0.0000718	0	7.9072	8	7.5872	8
