//0																													
//Oxygen, 1.03
//Nitrate, 1, 1, 1, 0
//Nitrate, 3, 1, -2,-3
//pH, 1, -0.15, 0
//pH, 2, 0.015, 0
//pH, 3, 0.01, 0
//pH, 15, 0, -0.075
//Chl,  1,  -0.010
//BB, 1, 0.00000954
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1999.26	0	  2.5465	0	34.7574	0	27.701	0	201.78	0	60.05	0	28.75	0	0.06	0	0.00009346	0	7.8829	0	7.6499	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1899.44	0	  2.5225	0	34.7256	0	27.677	0	191.89	0	57.06	0	30.30	0	0.06	0	0.00009546	0	7.8644	0	7.6294	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1799.41	0	  2.6558	0	34.7161	0	27.656	0	193.54	0	57.74	0	29.96	0	0.06	0	0.00009246	0	7.8683	0	7.6314	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1698.98	0	  2.6802	0	34.6918	0	27.634	0	189.83	0	56.66	0	30.73	0	0.05	0	0.00009246	0	7.8626	0	7.6233	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1599.14	0	  2.7004	0	34.6568	0	27.604	0	185.40	0	55.35	0	31.54	0	0.05	0	0.00010046	0	7.8537	0	7.6121	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1499.14	0	  2.7234	0	34.6168	0	27.569	0	182.52	0	54.51	0	32.48	0	0.06	0	0.00009546	0	7.8470	0	7.6030	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1399.75	0	  2.7444	0	34.5850	0	27.541	0	181.69	0	54.28	0	33.08	0	0.06	0	0.00009746	0	7.8429	0	7.5962	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1299.56	0	  2.7896	0	34.5341	0	27.495	0	181.80	0	54.35	0	33.61	0	0.06	0	0.00009746	0	7.8406	0	7.5915	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1199.10	0	  2.8248	0	34.4817	0	27.449	0	183.96	0	55.03	0	34.18	0	0.05	0	0.00009846	0	7.8404	0	7.5885	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1098.93	0	  2.8731	0	34.4387	0	27.409	0	188.49	0	56.44	0	34.38	0	0.05	0	0.00010046	0	7.8453	0	7.5903	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   999.23	0	  2.9332	0	34.3908	0	27.364	0	195.49	0	58.60	0	34.23	0	0.05	0	0.00009746	0	7.8554	0	7.5971	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   950.96	0	  2.9913	0	34.3537	0	27.327	0	201.57	0	60.50	0	33.98	0	0.06	0	0.00009846	0	7.8540	0	7.5951	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   901.59	0	  3.0727	0	34.3215	0	27.293	0	208.47	0	62.68	0	33.63	0	0.05	0	0.00010346	0	7.8630	0	7.6029	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   851.15	0	  3.1480	0	34.2945	0	27.263	0	215.37	0	64.86	0	33.14	0	0.04	0	0.00010146	0	7.8742	0	7.6125	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   800.89	0	  3.2126	0	34.2757	0	27.241	0	220.83	0	66.61	0	32.79	0	0.04	0	0.00010146	0	7.8803	0	7.6173	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   751.56	0	  3.3095	0	34.2528	0	27.212	0	226.60	0	68.50	0	32.33	0	0.04	0	0.00010346	0	7.8917	0	7.6274	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   701.71	0	  3.4496	0	34.2212	0	27.171	0	235.77	0	71.50	0	31.60	0	0.06	0	0.00009846	0	7.9031	0	7.6383	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   651.43	0	  3.6100	0	34.2066	0	27.142	0	242.05	0	73.69	0	30.90	0	0.05	0	0.00011446	0	7.9128	0	7.6477	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   601.49	0	  3.7805	0	34.1875	0	27.108	0	249.26	0	76.20	0	30.25	0	0.05	0	0.00011146	0	7.9230	0	7.6578	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   551.62	0	  3.9617	0	34.1712	0	27.075	0	255.13	0	78.33	0	29.44	0	0.04	0	0.00010546	0	7.9304	0	7.6654	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   501.25	0	  4.1158	0	34.1632	0	27.051	0	259.05	0	79.83	0	28.99	0	0.05	0	0.00010846	0	7.9371	0	7.6720	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   451.67	0	  4.3344	0	34.1720	0	27.033	0	259.05	0	80.26	0	28.59	0	0.05	0	0.00010846	0	7.9386	0	7.6748	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   401.62	0	  4.4759	0	34.1643	0	27.011	0	261.93	0	81.42	0	28.09	0	0.03	0	0.00011746	0	7.9437	0	7.6798	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   381.68	0	  4.5806	0	34.1687	0	27.002	0	261.52	0	81.50	0	27.79	0	0.04	0	0.00014646	0	7.9444	0	7.6812	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   360.84	0	  4.8669	0	34.1924	0	26.988	0	256.78	0	80.59	0	27.55	0	0.05	0	0.00011346	0	7.9410	0	7.6814	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   350.74	0	  4.9234	0	34.1960	0	26.984	0	256.37	0	80.58	0	27.39	0	0.05	0	0.00011146	0	7.9411	0	7.6820	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   340.71	0	  4.9634	0	34.1940	0	26.977	0	256.99	0	80.85	0	27.27	0	0.04	0	0.00014846	0	7.9432	0	7.6841	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   331.14	0	  5.0127	0	34.1939	0	26.971	0	257.50	0	81.10	0	27.01	0	0.04	0	0.00011146	0	7.9452	0	7.6864	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   321.25	0	  5.2051	0	34.2087	0	26.96	0	256.37	0	81.13	0	26.66	0	0.04	0	0.00010946	0	7.9454	0	7.6889	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   311.42	0	  5.3003	0	34.2164	0	26.955	0	255.54	0	81.05	0	26.49	0	0.04	0	0.00011646	0	7.9460	0	7.6904	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   301.31	0	  5.4745	0	34.2315	0	26.945	0	254.00	0	80.91	0	26.17	0	0.05	0	0.00011646	0	7.9438	0	7.6905	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   291.36	0	  5.7195	0	34.2533	0	26.932	0	250.60	0	80.30	0	25.73	0	0.05	0	0.00011646	0	7.9448	0	7.6945	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   281.38	0	  5.8697	0	34.2670	0	26.924	0	249.67	0	80.30	0	25.39	0	0.05	0	0.00011746	0	7.9462	0	7.6976	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   271.31	0	  6.0017	0	34.2787	0	26.917	0	249.05	0	80.35	0	25.01	0	0.04	0	0.00012246	0	7.9479	0	7.7006	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   261.33	0	  6.2368	0	34.3018	0	26.905	0	246.58	0	80.01	0	24.62	0	0.05	0	0.00012246	0	7.9483	0	7.7040	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   251.21	0	  6.3798	0	34.3139	0	26.896	0	245.86	0	80.05	0	24.16	0	0.05	0	0.00012246	0	7.9505	0	7.7077	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   241.13	0	  6.5043	0	34.3267	0	26.89	0	246.38	0	80.45	0	23.78	0	0.05	0	0.00012046	0	7.9526	0	7.7110	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   231.54	0	  6.6094	0	34.3375	0	26.884	0	245.66	0	80.42	0	23.57	0	0.05	0	0.00012046	0	7.9558	0	7.7151	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   221.37	0	  6.6931	0	34.3447	0	26.879	0	245.55	0	80.55	0	23.40	0	0.05	0	0.00012546	0	7.9568	0	7.7169	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   211.26	0	  6.8565	0	34.3559	0	26.866	0	245.55	0	80.86	0	22.81	0	0.05	0	0.00012546	0	7.9607	0	7.7224	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   201.29	0	  7.0476	0	34.3762	0	26.856	0	245.76	0	81.30	0	22.14	0	0.06	0	0.00011946	0	7.9642	0	7.7280	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   191.33	0	  7.2152	0	34.3932	0	26.846	0	245.96	0	81.69	0	21.53	0	0.04	0	0.00013046	0	7.9732	0	7.7383	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   181.30	0	  7.5316	0	34.4181	0	26.822	0	247.41	0	82.78	0	20.58	0	0.05	0	0.00012446	0	7.9772	0	7.7461	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   171.58	0	  7.6201	0	34.4245	0	26.814	0	249.47	0	83.64	0	20.20	0	0.07	0	0.00012746	0	7.9816	0	7.7511	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   161.11	0	  7.7761	0	34.4303	0	26.796	0	252.45	0	84.95	0	19.46	0	0.06	0	0.00012446	0	7.9875	0	7.7583	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   151.46	0	  7.9557	0	34.4465	0	26.783	0	254.00	0	85.82	0	18.66	0	0.08	0	0.00012746	0	7.9964	0	7.7687	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   141.27	0	  8.0011	0	34.4408	0	26.771	0	258.63	0	87.48	0	17.95	0	0.09	0	0.00013246	0	8.0056	0	7.7774	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   128.49	0	  8.2055	0	34.4503	0	26.749	0	264.40	0	89.85	0	17.06	0	0.13	0	0.00013046	0	8.0138	0	7.7874	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   119.37	0	  8.3441	0	34.4569	0	26.733	0	267.08	0	91.05	0	16.58	0	0.13	0	0.00013046	0	8.0183	0	7.7932	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   111.55	0	  8.4103	0	34.4626	0	26.728	0	268.21	0	91.57	0	16.25	0	0.13	0	0.00013346	0	8.0237	0	7.7989	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   101.45	0	  8.4790	0	34.4568	0	26.712	0	270.89	0	92.63	0	15.65	0	0.14	0	0.00012746	0	8.0269	0	7.8024	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		    93.80	0	  8.5286	0	34.4522	0	26.701	0	272.64	0	93.33	0	15.53	0	0.18	0	0.00013046	0	8.0276	0	7.8035	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		    86.61	0	  8.5570	0	34.4391	0	26.686	0	274.91	0	94.15	0	14.89	0	0.33	0	0.00014846	0	8.0344	0	7.8100	0
